,iteration,id,production,consumption,stored_kwh,wallet,grid_energy
0,0,ap1,98.572,44.7935,53.7785,0.0,0.0
1,0,ap2,17.316,44.1711,0.0,-513.0286,21.8551
2,0,ap3,81.236,43.9023,0.0,0.0,0.0
3,0,ap4,78.9475,43.9878,0.0,0.0,0.0
4,0,cs1,17.316,52.6177,0.0,-711.3047,30.3017
5,0,cs2,17.316,51.3299,0.0,-681.0746,29.0139
0,1,ap1,84.7107,37.1523,101.3369,0.0,0.0
1,1,ap2,17.316,37.8768,0.0,-1256.4728,20.5608
2,1,ap3,72.3772,37.8178,0.0,0.0,0.0
3,1,ap4,72.1555,39.1402,0.0,0.0,0.0
4,1,cs1,17.316,42.9478,0.0,-1638.1093,25.6318
5,1,cs2,17.316,44.6952,0.0,-1671.0607,27.3792
0,2,ap1,88.2338,39.0944,150.4763,0.0,0.0
1,2,ap2,17.316,37.5486,0.0,-2037.4789,20.2326
2,2,ap3,70.7227,36.6814,0.0,0.0,0.0
3,2,ap4,69.7041,37.3906,0.0,0.0,0.0
4,2,cs1,17.316,42.6094,0.0,-2614.4697,25.2934
5,2,cs2,17.316,42.4325,0.0,-2640.5937,25.1165
0,3,ap1,86.5607,38.1721,198.8649,0.0,0.0
1,3,ap2,17.316,36.9554,0.0,-2764.4189,19.6394
2,3,ap3,70.6441,36.6274,0.0,0.0,0.0
3,3,ap4,69.1711,37.0102,0.0,0.0,0.0
4,3,cs1,17.316,43.0624,0.0,-3567.4542,25.7464
5,3,cs2,17.316,42.5739,0.0,-3575.4993,25.2579
0,4,ap1,83.4832,36.4756,245.8725,0.0,0.0
1,4,ap2,17.316,36.5836,0.0,-2944.3101,19.2676
2,4,ap3,73.4652,38.565,0.0,0.0,0.0
3,4,ap4,70.1894,37.7369,0.0,0.0,0.0
4,4,cs1,17.316,42.6937,0.0,-3804.3913,25.3777
5,4,cs2,17.316,42.2762,0.0,-3808.5391,24.9602
0,5,ap1,84.8366,37.2216,293.4874,0.0,0.0
1,5,ap2,17.316,39.4378,0.0,-3556.9825,22.1218
2,5,ap3,72.7938,38.1039,0.0,0.0,0.0
3,5,ap4,69.5412,37.2743,0.0,0.0,0.0
4,5,cs1,17.316,44.0548,0.0,-4544.9333,26.7388
5,5,cs2,17.316,43.6118,0.0,-4536.8122,26.2958
0,6,ap1,84.9421,37.2798,341.1496,0.0,0.0
1,6,ap2,17.316,37.4188,0.0,-4353.7058,20.1028
2,6,ap3,72.4604,37.8749,0.0,0.0,0.0
3,6,ap4,68.2349,36.342,0.0,0.0,0.0
4,6,cs1,17.316,42.9916,0.0,-5562.5179,25.6756
5,6,cs2,17.316,40.8397,0.0,-5469.1126,23.5237
0,7,ap1,84.2492,36.8979,388.501,0.0,0.0
1,7,ap2,17.316,38.2641,0.0,-5168.7969,20.9481
2,7,ap3,72.3852,37.8233,0.0,0.0,0.0
3,7,ap4,71.8519,38.9235,0.0,0.0,0.0
4,7,cs1,17.316,44.2762,0.0,-6611.5399,26.9602
5,7,cs2,17.316,44.4179,0.0,-6523.6493,27.1019
0,8,ap1,88.1518,39.0492,437.6036,0.0,0.0
1,8,ap2,17.316,38.5942,0.0,-5935.6796,21.2782
2,8,ap3,72.7351,38.0636,0.0,0.0,0.0
3,8,ap4,71.7754,38.8689,0.0,0.0,0.0
4,8,cs1,17.316,42.5884,0.0,-7522.3783,25.2724
5,8,cs2,17.316,40.5787,0.0,-7362.0561,23.2627
0,9,ap1,85.7225,37.7101,485.6161,0.0,0.0
1,9,ap2,17.316,37.0468,0.0,-6919.8197,19.7308
2,9,ap3,72.1565,37.6662,0.0,0.0,0.0
3,9,ap4,69.7356,37.413,0.0,0.0,0.0
4,9,cs1,17.316,41.7006,0.0,-8738.6421,24.3846
5,9,cs2,17.316,42.6779,0.0,-8627.0689,25.3619
0,10,ap1,84.8764,37.2436,533.2488,0.0,0.0
1,10,ap2,17.316,37.8613,0.0,-7113.0825,20.5453
2,10,ap3,71.5181,37.2277,0.0,0.0,0.0
3,10,ap4,71.0635,38.3608,0.0,0.0,0.0
4,10,cs1,17.316,41.4451,0.0,-8965.6162,24.1291
5,10,cs2,17.316,40.86,0.0,-8848.539,23.544
0,11,ap1,83.9435,36.7293,580.463,0.0,0.0
1,11,ap2,17.316,37.7888,0.0,-7548.6983,20.4728
2,11,ap3,74.8054,39.4855,0.0,0.0,0.0
3,11,ap4,71.1338,38.411,0.0,0.0,0.0
4,11,cs1,17.316,44.3001,0.0,-9539.7781,26.9841
5,11,cs2,17.316,43.681,0.0,-9409.5274,26.365
0,12,ap1,83.6586,36.5723,627.5493,0.0,0.0
1,12,ap2,17.316,35.8871,0.0,-8166.6039,18.5711
2,12,ap3,73.5909,38.6514,0.0,0.0,0.0
3,12,ap4,68.4828,36.5189,0.0,0.0,0.0
4,12,cs1,17.316,41.5216,0.0,-10345.1581,24.2056
5,12,cs2,17.316,42.3514,0.0,-10242.5188,25.0354
0,13,ap1,84.1412,36.8383,674.8522,0.0,0.0
1,13,ap2,17.316,38.2702,0.0,-9209.8575,20.9542
2,13,ap3,75.2738,39.8073,0.0,0.0,0.0
3,13,ap4,67.2364,35.6293,0.0,0.0,0.0
4,13,cs1,17.316,43.407,0.0,-11644.1568,26.091
5,13,cs2,17.316,41.2528,0.0,-11434.2642,23.9368
0,14,ap1,83.6561,36.5709,721.9374,0.0,0.0
1,14,ap2,17.316,38.437,0.0,-9718.1934,21.121
2,14,ap3,73.5894,38.6504,0.0,0.0,0.0
3,14,ap4,66.9872,35.4515,0.0,0.0,0.0
4,14,cs1,17.316,43.8135,0.0,-12281.8955,26.4975
5,14,cs2,17.316,41.9443,0.0,-12027.0153,24.6283
0,15,ap1,84.8145,37.2095,769.5424,0.0,0.0
1,15,ap2,17.316,38.3825,0.0,-10568.6463,21.0665
2,15,ap3,71.8019,37.4227,0.0,0.0,0.0
3,15,ap4,70.6179,38.0428,0.0,0.0,0.0
4,15,cs1,17.316,42.8406,0.0,-13312.3208,25.5246
5,15,cs2,17.316,42.1711,0.0,-13030.4117,24.8551
0,16,ap1,83.8756,36.6919,816.7261,0.0,0.0
1,16,ap2,17.316,39.0772,0.0,-11297.1005,21.7612
2,16,ap3,75.2274,39.7754,0.0,0.0,0.0
3,16,ap4,69.709,37.3941,0.0,0.0,0.0
4,16,cs1,17.316,42.8954,0.0,-14168.5886,25.5794
5,16,cs2,17.316,43.9731,0.0,-13922.7533,26.6571
0,17,ap1,84.6962,37.1443,864.278,0.0,0.0
1,17,ap2,17.316,34.9294,0.0,-11656.7785,17.6134
2,17,ap3,72.3869,37.8245,0.0,0.0,0.0
3,17,ap4,66.73,35.2679,0.0,0.0,0.0
4,17,cs1,17.316,44.2367,0.0,-14718.3289,26.9207
5,17,cs2,17.316,42.4899,0.0,-14436.8224,25.1739
0,18,ap1,84.9946,37.3087,911.9638,0.0,0.0
