,iteration,id,production,consumption,stored_kwh,wallet,trades_from,amount_from_city,amount_to_city,central_battery_tax
0,0,ap1,98.572,44.7935,0.01,0.0,,5.8296,0.0,0.0
1,0,ap2,17.316,44.1711,5.0,0.0,ap1:10.6055-ap3:10.051-ap4:10.2607,0.0,3.6473,0.0
2,0,ap3,81.236,43.9023,5.0,0.0,,4.5883,0.0,0.0
3,0,ap4,78.9475,43.9878,5.0,0.0,,4.331,0.0,0.0
4,0,cs1,17.316,52.6177,5.0,0.0,ap1:16.5113-ap3:12.4651-ap4:11.5181,0.0,4.7772,0.0
5,0,cs2,17.316,51.3299,5.0,0.0,ap1:16.0239-ap3:11.9776-ap4:11.0306,0.0,4.6047,0.0
6,0,cs3,17.316,52.5207,5.0,0.0,ap1:16.4747-ap3:12.4284-ap4:11.4814,0.0,4.7642,0.0
0,1,ap1,84.7107,37.1523,0.01,-0.0,,2.5514,0.0,0.0
1,1,ap2,17.316,37.8768,0.0,-0.0,ap1:4.6932-ap3:9.9135-ap4:9.5068,0.0,3.5522,0.0
2,1,ap3,72.3772,37.8178,0.0,-0.0,,1.8537,0.0,0.0
3,1,ap4,72.1555,39.1402,0.0,-0.0,,1.7709,0.0,0.0
4,1,cs1,17.316,42.9478,0.0,-0.0,ap1:13.9701-ap3:9.0292-ap4:8.6224,0.0,5.9895,0.0
5,1,cs2,17.316,44.6952,0.0,-0.0,ap1:18.2747-ap3:8.316-ap4:7.9092,0.0,7.1203,0.0
6,1,cs3,17.316,42.6206,0.0,-0.0,ap1:13.1787-ap3:9.1541-ap4:8.7474,0.0,5.7752,0.0
0,2,ap1,88.2338,39.0944,0.01,-0.0,,0.0,0.0,0.0
1,2,ap2,17.316,37.5486,0.0,-14.2952,ap3:11.0199-ap4:9.2128,0.0,0.0,0.0
2,2,ap3,70.7227,36.6814,0.0,-0.0,,0.0,0.0,0.0
3,2,ap4,69.7041,37.3906,0.0,-0.0,,0.0,0.0,0.0
4,2,cs1,17.316,42.6094,0.0,-15.5585,ap1:13.7924-ap3:6.1421-ap4:5.359,0.0,0.0,0.0
5,2,cs2,17.316,42.4325,0.0,-15.5721,ap1:12.4547-ap3:6.7225-ap4:5.9394,0.0,0.0,0.0
6,2,cs3,17.316,43.9896,0.0,-15.5596,ap1:22.8995-ap3:1.0761-ap4:2.6981,0.0,0.0,0.0
0,3,ap1,86.5607,38.1721,0.01,46.1479,,0.0,0.0,0.0
