step,household_id,production,consumption,stored_kwh,battery_pct,wallet,grid_buy,grid_sell,p2p_trades,p2p_buy_amount,p2p_sell_amount,central_battery_tax,grid_import_capacity,grid_export_capacity
0,ap1,98.572,44.7935,51.0896,83.33,100.0433,0.0,0.0105,,0.0,0.0,0.0,4387.493,3798.7718
0,ap2,17.316,44.1711,0.05,0.37,-474.0355,21.9051,0.0,,0.0,0.0,0.0,4387.493,3798.7718
0,ap3,81.236,43.9023,13.5,100.0,214.6824,0.0,27.8893,,0.0,0.0,0.0,4387.493,3798.7718
0,ap4,78.9475,43.9878,13.5,100.0,204.9202,0.0,25.5153,,0.0,0.0,0.0,4387.493,3798.7718
0,cs1,17.316,52.6177,0.05,0.37,-695.3832,30.3517,0.0,,0.0,0.0,0.0,4387.493,3798.7718
1,ap1,84.7107,37.1523,96.2701,83.33,100.0433,0.0,0.0,,0.0,0.0,0.0,4886.9928,4035.1193
1,ap2,17.316,37.8768,0.0005,0.0,-712.6002,20.5113,0.0,,0.0,0.0,0.0,4886.9928,4035.1193
1,ap3,72.3772,37.8178,13.5,100.0,302.3957,0.0,34.5594,,0.0,0.0,0.0,4886.9928,4035.1193
1,ap4,72.1555,39.1402,13.5,100.0,288.7145,0.0,33.0153,,0.0,0.0,0.0,4886.9928,4035.1193
1,cs1,17.316,42.9478,0.0005,0.0,-992.9287,25.5823,0.0,,0.0,0.0,0.0,4886.9928,4035.1193
2,ap1,88.2338,39.0944,142.9525,83.33,100.0433,0.0,0.0,,0.0,0.0,0.0,2663.3613,2229.2354
2,ap2,17.316,37.5486,0.0,0.0,-1259.3021,20.2321,0.0,,0.0,0.0,0.0,2663.3613,2229.2354
2,ap3,70.7227,36.6814,13.5,100.0,576.7842,0.0,34.0413,,0.0,0.0,0.0,2663.3613,2229.2354
2,ap4,69.7041,37.3906,13.5,100.0,549.1763,0.0,32.3135,,0.0,0.0,0.0,2663.3613,2229.2354
2,cs1,17.316,42.6094,0.0,0.0,-1676.3814,25.2929,0.0,,0.0,0.0,0.0,2663.3613,2229.2354
3,ap1,86.5607,38.1721,188.9216,83.33,100.0433,0.0,0.0,,0.0,0.0,0.0,2858.9324,2397.6309
3,ap2,17.316,36.9554,0.0,0.0,-1840.9475,19.6394,0.0,,0.0,0.0,0.0,2858.9324,2397.6309
3,ap3,70.6441,36.6274,13.5,100.0,890.4894,0.0,34.0167,,0.0,0.0,0.0,2858.9324,2397.6309
3,ap4,69.1711,37.0102,13.5,100.0,845.7676,0.0,32.1609,,0.0,0.0,0.0,2858.9324,2397.6309
3,cs1,17.316,43.0624,0.0,0.0,-2438.8914,25.7464,0.0,,0.0,0.0,0.0,2858.9324,2397.6309
4,ap1,83.4832,36.4756,233.5788,83.33,100.0433,0.0,0.0,,0.0,0.0,0.0,2221.8226,1941.8657
4,ap2,17.316,36.5836,0.0,0.0,-2211.91,19.2676,0.0,,0.0,0.0,0.0,2221.8226,1941.8657
4,ap3,73.4652,38.565,13.5,100.0,1012.1467,0.0,34.9001,,0.0,0.0,0.0,2221.8226,1941.8657
4,ap4,70.1894,37.7369,13.5,100.0,958.8926,0.0,32.4524,,0.0,0.0,0.0,2221.8226,1941.8657
4,cs1,17.316,42.6937,0.0,0.0,-2927.4911,25.3777,0.0,,0.0,0.0,0.0,2221.8226,1941.8657
5,ap1,84.8366,37.2216,278.813,83.33,100.0433,0.0,0.0,,0.0,0.0,0.0,3199.5329,1986.5907
5,ap2,17.316,39.4378,0.0,0.0,-2646.5768,22.1218,0.0,,0.0,0.0,0.0,3199.5329,1986.5907
5,ap3,72.7938,38.1039,13.5,100.0,1169.3955,0.0,34.6899,,0.0,0.0,0.0,3199.5329,1986.5907
5,ap4,69.5412,37.2743,13.5,100.0,1105.158,0.0,32.2669,,0.0,0.0,0.0,3199.5329,1986.5907
5,cs1,17.316,44.0548,0.0,0.0,-3452.8764,26.7388,0.0,,0.0,0.0,0.0,3199.5329,1986.5907
6,ap1,84.9421,37.2798,324.0922,83.33,100.0433,0.0,0.0,,0.0,0.0,0.0,5529.6976,4069.1213
6,ap2,17.316,37.4188,0.0,0.0,-3480.8499,20.1028,0.0,,0.0,0.0,0.0,5529.6976,4069.1213
6,ap3,72.4604,37.8749,13.5,100.0,1540.661,0.0,34.5855,,0.0,0.0,0.0,5529.6976,4069.1213
6,ap4,68.2349,36.342,13.5,100.0,1447.5194,0.0,31.8929,,0.0,0.0,0.0,5529.6976,4069.1213
6,cs1,17.316,42.9916,0.0,0.0,-4518.42,25.6756,0.0,,0.0,0.0,0.0,5529.6976,4069.1213
7,ap1,84.2492,36.8979,369.0759,83.33,100.0433,0.0,0.0,,0.0,0.0,0.0,4481.922,3945.0332
7,ap2,17.316,38.2641,0.0,0.0,-4167.068,20.9481,0.0,,0.0,0.0,0.0,4481.922,3945.0332
7,ap3,72.3852,37.8233,13.5,100.0,1869.2687,0.0,34.5619,,0.0,0.0,0.0,4481.922,3945.0332
7,ap4,71.8519,38.9235,13.5,100.0,1760.5959,0.0,32.9284,,0.0,0.0,0.0,4481.922,3945.0332
7,cs1,17.316,44.2762,0.0,0.0,-5401.5826,26.9602,0.0,,0.0,0.0,0.0,4481.922,3945.0332
8,ap1,88.1518,39.0492,415.7234,83.33,100.0433,0.0,0.0,,0.0,0.0,0.0,5429.557,4081.8173
8,ap2,17.316,38.5942,0.0,0.0,-4427.8905,21.2782,0.0,,0.0,0.0,0.0,5429.557,4081.8173
8,ap3,72.7351,38.0636,13.5,100.0,1970.8557,0.0,34.6715,,0.0,0.0,0.0,5429.557,4081.8173
8,ap4,71.7754,38.8689,13.5,100.0,1857.0114,0.0,32.9065,,0.0,0.0,0.0,5429.557,4081.8173
8,cs1,17.316,42.5884,0.0,0.0,-5711.3655,25.2724,0.0,,0.0,0.0,0.0,5429.557,4081.8173
9,ap1,85.7225,37.7101,461.3352,83.33,100.0433,0.0,0.0,,0.0,0.0,0.0,2113.3725,2447.1853
9,ap2,17.316,37.0468,0.0,0.0,-5102.1942,19.7308,0.0,,0.0,0.0,0.0,2113.3725,2447.1853
9,ap3,72.1565,37.6662,13.5,100.0,2101.2299,0.0,34.4903,,0.0,0.0,0.0,2113.3725,2447.1853
9,ap4,69.7356,37.413,13.5,100.0,1979.1914,0.0,32.3225,,0.0,0.0,0.0,2113.3725,2447.1853
9,cs1,17.316,41.7006,0.0,0.0,-6544.7135,24.3846,0.0,,0.0,0.0,0.0,2113.3725,2447.1853
10,ap1,84.8764,37.2436,506.5864,83.33,100.0433,0.0,0.0,,0.0,0.0,0.0,2190.1091,2047.9444
10,ap2,17.316,37.8613,0.0,0.0,-5873.8134,20.5453,0.0,,0.0,0.0,0.0,2190.1091,2047.9444
10,ap3,71.5181,37.2277,13.5,100.0,2472.2135,0.0,34.2904,,0.0,0.0,0.0,2190.1091,2047.9444
10,ap4,71.0635,38.3608,13.5,100.0,2332.9977,0.0,32.7027,,0.0,0.0,0.0,2190.1091,2047.9444
10,cs1,17.316,41.4451,0.0,0.0,-7450.9279,24.1291,0.0,,0.0,0.0,0.0,2190.1091,2047.9444
11,ap1,83.9435,36.7293,551.4398,83.33,100.0433,0.0,0.0,,0.0,0.0,0.0,2421.6965,2076.5457
11,ap2,17.316,37.7888,0.0,0.0,-6162.2457,20.4728,0.0,,0.0,0.0,0.0,2421.6965,2076.5457
11,ap3,74.8054,39.4855,13.5,100.0,2846.7295,0.0,35.3199,,0.0,0.0,0.0,2421.6965,2076.5457
11,ap4,71.1338,38.411,13.5,100.0,2679.9757,0.0,32.7228,,0.0,0.0,0.0,2421.6965,2076.5457
11,cs1,17.316,44.3001,0.0,0.0,-7831.0952,26.9841,0.0,,0.0,0.0,0.0,2421.6965,2076.5457
12,ap1,83.6586,36.5723,596.1718,83.33,100.0433,0.0,0.0,,0.0,0.0,0.0,2422.8168,2266.9731
12,ap2,17.316,35.8871,0.0,0.0,-6960.3814,18.5711,0.0,,0.0,0.0,0.0,2422.8168,2266.9731
12,ap3,73.5909,38.6514,13.5,100.0,3072.2991,0.0,34.9395,,0.0,0.0,0.0,2422.8168,2266.9731
