step,household_id,production,consumption,stored_kwh,battery_pct,wallet,grid_buy,grid_sell,p2p_trades,p2p_buy_amount,p2p_sell_amount,central_battery_tax,grid_import_capacity,grid_export_capacity
0,ap1,98.572,44.7935,0.01,0.0,1433.0995,0.0,0.0,,0.0,53.7785,0.0,4387.493,3798.7718
0,ap2,17.316,44.1711,2.47,18.3,-508.6895,0.0,0.0,ap1:20.7768-ap3:3.7783,24.5551,0.0,0.0,4387.493,3798.7718
0,ap3,81.236,43.9023,2.7688,20.51,245.6284,0.0,31.8054,,0.0,3.7783,0.0,4387.493,3798.7718
0,ap4,78.9475,43.9878,6.575,48.7,154.2631,0.0,33.2097,,0.0,0.0,0.0,4387.493,3798.7718
0,cs1,17.316,52.6177,2.47,18.3,-718.0698,0.0,0.0,ap1:33.0017,33.0017,0.0,0.0,4387.493,3798.7718
1,ap1,84.7107,37.1523,0.01,0.0,1891.1089,0.0,1.3658,,0.0,46.1926,0.0,4886.9928,4035.1193
1,ap2,17.316,37.8768,2.47,18.3,-706.9324,0.0,0.0,ap1:20.5608,20.5608,0.0,0.0,4886.9928,4035.1193
1,ap3,72.3772,37.8178,6.3519,47.05,528.3921,0.0,30.5783,,0.0,0.0,0.0,4886.9928,4035.1193
1,ap4,72.1555,39.1402,6.7325,49.87,457.9444,0.0,32.8403,,0.0,0.0,0.0,4886.9928,4035.1193
1,cs1,17.316,42.9478,2.47,18.3,-965.2065,0.0,0.0,ap1:25.6318,25.6318,0.0,0.0,4886.9928,4035.1193
2,ap1,88.2338,39.0944,0.01,0.0,2228.5499,0.0,3.6134,,0.0,45.5259,0.0,2663.3613,2229.2354
2,ap2,17.316,37.5486,2.47,18.3,-848.3636,0.0,0.0,ap1:20.2326,20.2326,0.0,0.0,2663.3613,2229.2354
2,ap3,70.7227,36.6814,6.7102,49.71,707.1763,0.0,33.6432,,0.0,0.0,0.0,2663.3613,2229.2354
