timestep,import_capacity_kw,export_capacity_kw
0,4387.493005116389,3798.7717881814574
1,4886.992787248845,4035.1193429509003
2,2663.3613481854636,2229.235439454036
3,2858.932407979034,2397.6309090472228
4,2221.822586338812,1941.865748751496
5,3199.5328717773123,1986.5906857736113
6,5529.697573208417,4069.1213123319735
7,4481.922006302933,3945.0332288647337
8,5429.556967430634,4081.817342037357
9,2113.3725479305126,2447.185254340041
10,2190.1090966051297,2047.9443634944764
11,2421.696493407718,2076.5457287205036
12,2422.8167896591353,2266.973141416791
13,4228.872994515761,3966.901106887319
14,5087.393834495601,4442.277017295438
15,4664.13907932152,3394.050423260281
16,2339.1535877784404,1880.1216743996063
17,2497.5431086102026,2128.4063830168025
18,2417.261005050953,2101.8013598642087
19,2712.6406653871636,1970.4715017092135
20,4848.68373868648,4012.8873015325094
21,4654.822706949568,4301.585222871366
22,5092.417180345894,4356.099095745551
23,2418.9487609682433,1814.7370472125472
24,2404.5027313866503,2245.0168557313395
25,2931.8255480683097,1952.3402139313785
26,2449.3599799897374,1847.8396373856879
27,5668.917302787643,3914.8591923103095
28,5229.811698550778,3984.420207014228
29,4971.357341588255,3057.5640790513676
30,2569.298731709813,1762.684499734238
31,2482.870396072741,1981.187732494229
32,2542.280381709839,2175.678923151741
33,2974.3285967541424,1837.397809817953
34,4935.991586944316,4614.310417585572
35,4927.451570744898,4323.930063463915
36,5224.320804357651,3019.9830201782875
37,2797.2108679237313,1908.4715939036055
38,2214.4888790385467,2166.7546877610457
39,2644.250675927566,1909.2361962858633
40,2674.8880829205737,2066.306384077522
41,4318.74296853593,3337.185623539508
42,4887.343656749185,3621.3405056406245
43,5148.939203917505,4230.55387411043
44,2346.95885464311,2001.294630004188
45,2427.77363271972,1580.2795079109044
46,2222.9642214151686,1878.568118057228
47,2489.280807145526,1696.498363205666
48,4409.512347169746,3775.328209859807
49,4526.574832698063,4321.964156751739
50,4233.287908027216,3802.2743834876796
51,2792.910882893291,2062.1474699262358
52,1926.5285362562768,1857.3441739312595
53,2359.0777091976715,1976.1621837006076
54,2102.8640548816434,1548.573384191347
55,5412.165293117651,3848.75817947466
56,4915.62776197194,3830.6092686174356
57,4147.092959311136,4416.044343360035
58,2202.0943158471755,1808.196878290885
59,2416.938353151921,1971.8335100193676
60,2887.0357571972377,2431.30105902255
61,2291.732648033059,1925.1750610874344
62,5401.456377877617,4808.230989278025
63,5081.114695048419,3553.4160083083602
64,4909.367067067654,4233.323200218606
65,2896.2386524226076,2207.528480084562
66,2422.524063854708,2022.9469477413923
67,2257.110043748925,2028.2068638179176
68,2370.0169282891547,2333.555891657713
69,5432.662045158337,3829.88506841137
70,5404.8779587321915,4171.174544982566
71,5813.742602328322,4256.2100790765935
72,2215.4940649464343,1665.5057254127817
73,2370.5490098218665,1878.2143481902328
74,2600.4511857489692,2108.196144349629
75,2611.366559627046,2609.1296635072094
76,5581.614249230015,4466.20411115956
77,4718.618715627641,4946.590136913384
78,4861.707599923248,4122.569823280493
79,2835.8395923918474,1838.5192976051403
80,2576.137334579587,2016.4848011604079
81,2801.870127348269,1992.2222775559728
82,2699.2326625845967,1722.937056715759
83,5475.092834875164,4382.592594121453
84,6188.905959468284,4474.675693887399
85,4786.631052357527,4149.652715898295
86,2303.888886947066,2044.5568987486013
87,2287.769926041579,2010.3330805349003
88,2319.763987201541,1942.770522867412
89,2564.406637013834,1819.132351518542
