step,household_id,production,consumption,stored_kwh,battery_pct,wallet,grid_buy,grid_sell,p2p_trades,p2p_buy_amount,p2p_sell_amount,central_battery_tax,grid_import_capacity,grid_export_capacity
0,ap1,98.572,44.7935,0.01,0.0,811.6036,0.0,5.7194,,0.0,48.0672,0.0,4387.493,3798.7718
0,ap2,17.316,44.1711,0.0,0.0,-204.9662,0.0,0.0001,ap1:17.2631-ap3:4.9876,22.2506,0.0,0.0,4387.493,3798.7718
0,ap3,81.236,43.9023,0.0,0.0,508.4455,0.0,36.8413,,0.0,4.9876,0.0,4387.493,3798.7718
0,ap4,78.9475,43.9878,0.1659,1.23,463.2854,0.0,39.3543,,0.0,0.0,0.0,4387.493,3798.7718
0,cs1,17.316,52.6177,0.0519,0.38,-322.1941,0.0,0.0006,ap1:30.8041,30.8041,0.0,0.0,4387.493,3798.7718
1,ap1,84.7107,37.1523,0.01,0.0,1222.46,0.0001,28.7843,,0.0,18.7818,0.0,4886.9928,4035.1193
1,ap2,17.316,37.8768,6.0739,44.99,-558.0154,0.0001,0.0002,ap4:8.5279-ap1:18.7818,27.3097,0.0,0.0,4886.9928,4035.1193
1,ap3,72.3772,37.8178,0.0,0.0,853.8515,0.0001,11.5493,,0.0,21.5028,0.0,4886.9928,4035.1193
1,ap4,72.1555,39.1402,0.0,0.0,785.9763,0.0,12.2958,,0.0,19.4084,0.0,4886.9928,4035.1193
1,cs1,17.316,42.9478,6.1282,45.39,-740.831,0.0,0.0,ap3:21.5028-ap4:10.8805,32.3833,0.0,0.0,4886.9928,4035.1193
2,ap1,88.2338,39.0944,0.01,0.0,1381.5828,0.0,41.2954,,0.0,7.8517,0.0,2663.3613,2229.2354
2,ap2,17.316,37.5486,7.5014,55.57,-694.372,0.0,0.0001,ap4:13.9672-ap1:7.8517,21.8188,0.0,0.0,2663.3613,2229.2354
2,ap3,70.7227,36.6814,0.0,0.0,1017.8738,0.0,10.9803,,0.0,21.5632,0.0,2663.3613,2229.2354
2,ap4,69.7041,37.3906,0.0,0.0,937.0033,0.0,11.5934,,0.0,19.2224,0.0,2663.3613,2229.2354
2,cs1,17.316,42.6094,7.5004,55.56,-908.4323,0.0001,0.0004,ap3:21.5632-ap4:5.2552,26.8184,0.0,0.0,2663.3613,2229.2354
3,ap1,86.5607,38.1721,0.01,0.0,1773.4821,0.0001,4.6107,,0.0,43.7858,0.0,2858.9324,2397.6309
3,ap2,17.316,36.9554,7.3905,54.74,-862.2917,0.0001,0.0,ap1:18.0406-ap3:1.4978,19.5385,0.0,0.0,2858.9324,2397.6309
3,ap3,70.6441,36.6274,4.7309,35.04,1117.8948,0.0002,25.7646,,0.0,1.4978,0.0,2858.9324,2397.6309
3,ap4,69.1711,37.0102,6.1698,45.7,1022.5992,0.0003,25.3059,,0.0,0.0,0.0,2858.9324,2397.6309
3,cs1,17.316,43.0624,7.4992,55.55,-1129.6934,0.0001,0.0,ap1:25.7452,25.7452,0.0,0.0,2858.9324,2397.6309
4,ap1,83.4832,36.4756,0.01,0.0,2201.2645,0.0,44.815,,0.0,2.2006,0.0,2221.8226,1941.8657
4,ap2,17.316,36.5836,1.4858,11.01,-1012.5339,0.0,0.0001,ap4:11.6991-ap1:2.2006,13.8997,0.0,0.0,2221.8226,1941.8657
4,ap3,73.4652,38.565,0.0,0.0,1501.8035,0.0,21.9306,,0.0,17.2273,0.0,2221.8226,1941.8657
4,ap4,70.1894,37.7369,0.0,0.0,1391.0064,0.0,23.6257,,0.0,14.3794,0.0,2221.8226,1941.8657
4,cs1,17.316,42.6937,1.4822,10.98,-1344.875,0.0,0.0,ap3:17.2273-ap4:2.6803,19.9076,0.0,0.0,2221.8226,1941.8657
5,ap1,84.8366,37.2216,0.01,0.0,2590.1037,0.0,9.7043,,0.0,37.9157,0.0,3199.5329,1986.5907
5,ap2,17.316,39.4378,1.4887,11.03,-1219.5692,0.0,0.0023,ap1:11.1761-ap4:5.5486-ap3:5.4027,22.1273,0.0,0.0,3199.5329,1986.5907
5,ap3,72.7938,38.1039,1.2054,8.93,1631.4978,0.0,22.5452,,0.0,5.4027,0.0,3199.5329,1986.5907
5,ap4,69.5412,37.2743,1.074,7.96,1513.0486,0.0,19.9763,,0.0,5.5486,0.0,3199.5329,1986.5907
