step,household_id,production,consumption,stored_kwh,battery_pct,wallet,grid_buy,grid_sell,p2p_trades,p2p_buy_amount,p2p_sell_amount,central_battery_tax,grid_import_capacity,grid_export_capacity
0,ap1,100.5555,45.8869,51.9352,83.33,100.108,0.0,0.0105,,0.0,0.0,0.0,4298.0837,3998.7117
0,ap2,17.316,45.5795,0.05,0.37,-896.2733,23.3135,0.0,,0.0,0.0,0.0,4298.0837,3998.7117
0,ap3,82.0741,44.4779,13.5,100.0,388.9679,0.0,28.1517,,0.0,0.0,0.0,4298.0837,3998.7117
0,ap4,74.5762,40.8679,13.5,100.0,349.06,0.0,24.2638,,0.0,0.0,0.0,4298.0837,3998.7117
0,cs1,17.316,50.03,0.05,0.37,-1086.4595,27.764,0.0,,0.0,0.0,0.0,4298.0837,3998.7117
1,ap1,86.1019,37.9192,97.7087,83.33,100.108,0.0,0.0,,0.0,0.0,0.0,5422.738,4098.5152
1,ap2,17.316,37.657,0.0005,0.0,-1360.85,20.2915,0.0,,0.0,0.0,0.0,5422.738,4098.5152
1,ap3,73.9415,38.8922,13.5,100.0,422.6019,0.0,35.0493,,0.0,0.0,0.0,5422.738,4098.5152
1,ap4,70.2249,37.7623,13.5,100.0,380.2117,0.0,32.4626,,0.0,0.0,0.0,5422.738,4098.5152
1,cs1,17.316,44.4042,0.0005,0.0,-1705.5145,27.0387,0.0,,0.0,0.0,0.0,5422.738,4098.5152
2,ap1,84.5469,37.0619,142.8194,83.33,100.108,0.0,0.0,,0.0,0.0,0.0,2161.1561,2030.8911
2,ap2,17.316,37.1863,0.0,0.0,-1570.7591,19.8698,0.0,,0.0,0.0,0.0,2161.1561,2030.8911
2,ap3,69.9403,36.144,13.5,100.0,592.2905,0.0,33.7962,,0.0,0.0,0.0,2161.1561,2030.8911
2,ap4,70.4547,37.9263,13.5,100.0,543.5345,0.0,32.5284,,0.0,0.0,0.0,2161.1561,2030.8911
2,cs1,17.316,42.1931,0.0,0.0,-1968.317,24.8766,0.0,,0.0,0.0,0.0,2161.1561,2030.8911
3,ap1,86.5846,38.1853,188.7988,83.33,100.108,0.0,0.0,,0.0,0.0,0.0,2538.8682,2384.8117
3,ap2,17.316,37.3303,0.0,0.0,-1995.6839,20.0143,0.0,,0.0,0.0,0.0,2538.8682,2384.8117
3,ap3,74.0266,38.9506,13.5,100.0,633.2619,0.0,35.0759,,0.0,0.0,0.0,2538.8682,2384.8117
3,ap4,70.4726,37.939,13.5,100.0,581.5361,0.0,32.5335,,0.0,0.0,0.0,2538.8682,2384.8117
