timestep,import_capacity_kw,export_capacity_kw
0,4298.083714314673,3998.711700162615
1,5422.738034738854,4098.51517611819
2,2161.156125220678,2030.8911319369524
3,2538.8682481336295,2384.811678855482
4,1907.3781647077515,2109.39853639794
5,2139.036174004381,1850.05744761036
6,5344.366424808981,4051.921176838996
7,5218.982413247868,4181.121661781325
8,4969.912597098189,3125.272155139369
9,2157.1725882515393,1834.6397204401082
10,1954.8466394099696,1936.9381508709712
11,2362.868091844561,1737.1297230204173
12,2526.581368595642,1991.966916978854
13,4156.503774833665,4139.194468581891
14,4947.966194797968,3700.687423978489
15,4831.085332041169,4338.838886313949
16,2254.4739011214833,2041.2102989544874
17,2377.2959026634,1822.5033826452109
18,2922.8301449210394,1583.4459363711048
19,2764.04051895237,2167.0333993402637
20,4659.081682216127,3715.666208940635
21,5013.3892982866455,4251.778372427452
22,4450.697346932707,3692.8516687496194
23,2644.0808695529727,2340.654594874716
24,2699.65244167971,2038.4650818051196
25,2274.6363847725133,2087.7990830518597
26,2151.168358046599,2123.2168537403572
27,5688.0641833992295,3843.4651426724477
28,4775.271843695299,4371.404815548996
29,4700.71522299577,3167.6516556353495
30,3101.988850268932,1911.701080637652
31,2385.3428726240004,1769.8582851144672
32,2382.239187955797,2017.5365634020714
33,3027.9911928238703,2016.0495005614353
34,5274.330767827987,3344.7506466476643
35,4540.544605582782,4292.138494190858
36,4697.911164101143,3329.2166054173827
37,2394.9256094163075,2084.8159092183823
38,2478.364238541965,1742.5967727847453
39,2383.895522241724,1912.3878916948918
40,2409.2369517328357,2267.1494962308057
41,5032.058099525063,4039.9206571804475
42,4638.260682608074,3963.2272375772163
43,5295.126064899315,4997.562743986831
44,2613.346367985753,1977.527635183582
45,2650.985750773769,2088.7586330586237
46,1929.5721015878928,2068.641887696168
47,2486.566999865142,1955.0917988765898
48,5399.753537991422,4027.740574650805
49,5900.0548847161845,3671.7248959947524
50,4860.474119064103,4033.363559409179
51,2440.7609206214893,2053.9675178183566
52,2577.467577157747,1988.6688946951278
53,2814.2231859774893,2011.4097640703728
54,2469.3635521813258,2105.1115970666433
55,5659.218963034163,3784.7698627136565
56,5265.1019425756895,4435.4984369569165
57,4369.350764982183,3810.496728670971
58,2547.796175209818,1948.524953503539
59,2626.6281760390652,2024.0188833244636
60,2824.4243755090242,1861.5621139066438
61,2579.921125738165,2065.9134362753825
62,4873.615661148073,3999.705126519927
63,5542.198092418626,4065.0063812438734
64,4563.383009873178,3879.643568553951
65,2392.1557167262868,1884.0514249651023
66,2791.3305754432495,1858.3472873244516
67,2353.409004876193,1869.9298292748429
68,2474.7115292204326,1983.2192337406034
69,4547.317476711153,4037.0309767857825
70,5223.922793261247,4528.927028741864
71,5539.080969310419,2953.9076158522844
72,2516.3517503484813,1953.3708146351967
73,2622.820763734094,1712.1283879949476
74,2350.350403240329,1980.162873848731
75,2359.3631690582984,2119.1023151691725
76,4864.284671260304,3554.4414720069817
77,5371.300183397454,4181.25254412062
78,5162.420555952583,4216.620744885965
79,2612.174478437019,1847.0406754455448
80,2781.0526823418204,1804.8764614365643
81,2577.2268940512618,2140.6618441124447
82,2826.0101805810823,1996.8068028470145
83,5071.740606814739,3570.6776892902294
84,4681.122244532013,3533.4116262979805
85,5605.229680442909,3569.9642823278587
86,2407.6392395480543,1973.4448620532678
87,2456.798033861075,2190.528981412827
88,2392.532272418115,2082.228638426809
89,2461.9706326883434,2172.714809733581
