step,household_id,production,consumption,stored_kwh,battery_pct,wallet,grid_buy,grid_sell,p2p_trades,p2p_buy_amount,p2p_sell_amount,central_battery_tax,grid_import_capacity,grid_export_capacity
0,ap1,100.5555,45.8869,0.01,0.0,819.5973,0.0,0.0,,0.0,54.6686,0.0,4298.0837,3998.7117
0,ap2,17.316,45.5795,2.47,18.3,-241.7549,0.0,0.0,ap1:24.2546-ap3:1.7089,25.9635,0.0,0.0,4298.0837,3998.7117
0,ap3,82.0741,44.4779,5.037,37.31,221.0814,0.0,34.1373,,0.0,1.7089,0.0,4298.0837,3998.7117
0,ap4,74.5762,40.8679,6.575,48.7,192.2946,0.0,31.9583,,0.0,0.0,0.0,4298.0837,3998.7117
0,cs1,17.316,50.03,2.47,18.3,-300.3362,0.0,0.0,ap1:30.414,30.414,0.0,0.0,4298.0837,3998.7117
1,ap1,86.1019,37.9192,0.0,83.33,1244.719,0.0,48.1827,,0.0,0.0,0.0,5422.738,4098.5152
1,ap2,17.316,37.657,2.47,18.3,-459.2057,20.341,0.0,,0.0,0.0,0.0,5422.738,4098.5152
1,ap3,73.9415,38.8922,6.5787,48.73,515.2116,0.0,33.3363,,0.0,0.0,0.0,5422.738,4098.5152
1,ap4,70.2249,37.7623,6.7325,49.87,477.172,0.0,32.2876,,0.0,0.0,0.0,5422.738,4098.5152
1,cs1,17.316,44.4042,2.47,18.3,-589.9166,27.0882,0.0,,0.0,0.0,0.0,5422.738,4098.5152
2,ap1,84.5469,37.0619,0.0,0.0,1906.9213,0.0,2.7376,,0.0,44.7473,0.0,2161.1561,2030.8911
2,ap2,17.316,37.1863,2.47,18.3,-744.8424,0.0,0.0,ap1:19.8702,19.8702,0.0,0.0,2161.1561,2030.8911
2,ap3,69.9403,36.144,6.7329,49.87,748.0334,0.0,33.6249,,0.0,0.0,0.0,2161.1561,2030.8911
2,ap4,70.4547,37.9263,6.7483,49.99,702.28,0.0,32.5109,,0.0,0.0,0.0,2161.1561,2030.8911
2,cs1,17.316,42.1931,2.47,18.3,-947.5268,0.0,0.0,ap1:24.8771,24.8771,0.0,0.0,2161.1561,2030.8911
3,ap1,86.5846,38.1853,0.0,0.0,2617.9047,0.0,4.6215,,0.0,43.7778,0.0,2538.8682,2384.8117
3,ap2,17.316,37.3303,2.47,18.3,-1045.7705,0.0,0.0,ap1:20.0143,20.0143,0.0,0.0,2538.8682,2384.8117
3,ap3,74.0266,38.9506,6.7483,49.99,1148.2274,0.0,35.0588,,0.0,0.0,0.0,2538.8682,2384.8117
