step,household_id,production,consumption,stored_kwh,battery_pct,wallet,grid_buy,grid_sell,p2p_trades,p2p_buy_amount,p2p_sell_amount,central_battery_tax,grid_import_capacity,grid_export_capacity
0,ap1,100.5555,45.8869,0.01,0.0,661.5255,0.0002,37.7328,,0.0,16.9437,0.0,4298.0837,3998.7117
0,ap2,17.316,45.5795,0.0485,0.36,-621.851,0.0002,0.002,ap3:6.8202-ap1:16.9437,23.7639,0.0,0.0,4298.0837,3998.7117
0,ap3,82.0741,44.4779,0.0,0.0,648.1489,0.0002,13.3453,,0.0,17.5003,0.0,4298.0837,3998.7117
0,ap4,74.5762,40.8679,0.0,0.0,644.216,0.0002,9.426,,0.0,17.531,0.0,4298.0837,3998.7117
0,cs1,17.316,50.03,0.047,0.35,-756.9393,0.0002,0.0,ap4:17.531-ap3:10.6801,28.2111,0.0,0.0,4298.0837,3998.7117
1,ap1,86.1019,37.9192,0.01,0.0,1403.9182,0.0,39.6085,,0.0,8.5859,0.0,5422.738,4098.5152
1,ap2,17.316,37.657,0.0041,0.03,-1337.5897,0.0,0.0017,ap3:11.7165-ap1:8.5859,20.3024,0.0,0.0,5422.738,4098.5152
1,ap3,73.9415,38.8922,0.0,0.0,1458.7585,0.0,17.6086,,0.0,17.4482,0.0,5422.738,4098.5152
1,ap4,70.2249,37.7623,0.0,0.0,1519.6668,0.0,11.1486,,0.0,21.3215,0.0,5422.738,4098.5152
1,cs1,17.316,44.4042,0.006,0.04,-1710.6725,0.0,0.0023,ap4:21.3215-ap3:5.7317,27.0532,0.0,0.0,5422.738,4098.5152
2,ap1,84.5469,37.0619,0.01,0.0,1927.6564,0.0,31.4716,,0.0,16.0199,0.0,2161.1561,2030.8911
2,ap2,17.316,37.1863,0.0,0.0,-1694.3886,0.0,0.0038,ap3:5.9025-ap4:13.9661,19.8686,0.0,0.0,2161.1561,2030.8911
2,ap3,69.9403,36.144,0.0,0.0,1815.8217,0.0,12.2796,,0.0,14.7538,0.0,2161.1561,2030.8911
2,ap4,70.4547,37.9263,0.0,0.0,1858.9826,0.0,11.7994,,0.0,13.9661,0.0,2161.1561,2030.8911
2,cs1,17.316,42.1931,0.0,0.0,-2157.3444,0.0,0.0,ap1:16.0199-ap3:8.8513,24.8713,0.0,0.0,2161.1561,2030.8911
3,ap1,86.5846,38.1853,0.01,0.0,2298.3391,0.0,9.785,,0.0,38.6221,0.0,2538.8682,2384.8117
3,ap2,17.316,37.3303,6.0715,44.97,-1929.4569,0.0,0.0,ap1:8.1113-ap4:11.4177-ap3:7.2313,26.7603,0.0,0.0,2538.8682,2384.8117
3,ap3,74.0266,38.9506,0.0,0.0,1968.7493,0.0,27.8447,,0.0,7.2313,0.0,2538.8682,2384.8117
3,ap4,70.4726,37.939,0.0,0.0,2027.0769,0.0,21.1153,,0.0,11.4177,0.0,2538.8682,2384.8117
3,cs1,17.316,41.0795,6.0725,44.98,-2425.3572,0.0,0.0,ap1:30.5108,30.5108,0.0,0.0,2538.8682,2384.8117
4,ap1,85.1198,37.3778,0.01,0.0,3182.4774,0.0001,30.6191,,0.0,17.1307,0.0,1907.3782,2109.3985
4,ap2,17.316,37.0546,0.0559,0.41,-2499.0529,0.0001,0.0014,ap4:6.431-ap3:7.8402,14.2712,0.0,0.0,1907.3782,2109.3985
4,ap3,73.3232,38.4675,0.0,0.0,2458.4902,0.0001,27.0154,,0.0,7.8402,0.0,1907.3782,2109.3985
4,ap4,70.6359,38.0556,0.0,0.0,2526.6799,0.0001,23.9981,,0.0,8.5821,0.0,1907.3782,2109.3985
4,cs1,17.316,42.062,0.062,0.46,-3194.9482,0.0,0.0,ap1:17.1307-ap4:2.1511,19.2818,0.0,0.0,1907.3782,2109.3985
5,ap1,86.1635,37.9531,0.01,0.0,3667.1491,0.0,38.4903,,0.0,9.7278,0.0,2139.0362,1850.0574
5,ap2,17.316,36.8217,0.2327,1.72,-3035.5563,0.0011,0.0507,ap4:10.024-ap1:9.7278,19.7518,0.0,0.0,2139.0362,1850.0574
5,ap3,69.9816,36.1724,0.0,0.0,3037.1319,0.0,7.3047,,0.0,19.7546,0.0,2139.0362,1850.0574
5,ap4,69.1981,37.0295,0.0,0.0,3049.2315,0.0,7.8412,,0.0,17.5775,0.0,2139.0362,1850.0574
5,cs1,17.316,44.3826,0.2346,1.74,-3936.7941,0.0011,0.0507,ap3:19.7546-ap4:7.5535,27.3081,0.0,0.0,2139.0362,1850.0574
6,ap1,85.4116,37.5387,0.01,0.0,4445.5942,0.0,4.0022,,0.0,43.8796,0.0,5344.3664,4051.9212
6,ap2,17.316,37.8743,0.0,0.0,-3374.8379,0.0,0.0067,ap1:18.301-ap3:1.6315,19.9325,0.0,0.0,5344.3664,4051.9212
6,ap3,70.0331,36.2078,0.0,0.0,3317.7558,0.0,32.1968,,0.0,1.6315,0.0,5344.3664,4051.9212
6,ap4,69.2815,37.0889,0.3851,2.85,3298.6866,0.0,31.7646,,0.0,0.0,0.0,5344.3664,4051.9212
6,cs1,17.316,43.1293,0.0,0.0,-4372.2494,0.0,0.0,ap1:25.5786,25.5786,0.0,0.0,5344.3664,4051.9212
7,ap1,86.1919,37.9688,0.01,0.0,5098.7745,0.0005,30.1625,,0.0,18.0682,0.0,5218.9824,4181.1217
7,ap2,17.316,37.5496,0.009,0.07,-3916.2041,0.0005,0.0,ap4:7.7161-ap3:12.527,20.2431,0.0,0.0,5218.9824,4181.1217
7,ap3,73.3213,38.4662,0.0,0.0,3778.5887,0.0005,22.3272,,0.0,12.527,0.0,5218.9824,4181.1217
7,ap4,69.9037,37.5331,0.0,0.0,3764.6926,0.0006,18.9125,,0.0,13.4403,0.0,5218.9824,4181.1217
7,cs1,17.316,41.119,0.0,0.0,-5008.5342,0.0006,0.0,ap1:18.0682-ap4:5.7242,23.7924,0.0,0.0,5218.9824,4181.1217
8,ap1,83.1413,36.2871,0.01,0.0,6530.5585,0.0,9.0561,,0.0,37.8057,0.0,4969.9126,3125.2722
8,ap2,17.316,37.9022,0.0,0.0,-4660.2997,0.0,0.0,ap1:12.5379-ap3:5.3535-ap4:2.6563,20.5477,0.0,0.0,4969.9126,3125.2722
8,ap3,72.9775,38.2301,0.0,0.0,4176.037,0.0,29.3952,,0.0,5.3535,0.0,4969.9126,3125.2722
8,ap4,71.39,38.5938,0.0,0.0,4069.6304,0.0,30.1404,,0.0,2.6563,0.0,4969.9126,3125.2722
8,cs1,17.316,42.5679,0.0048,0.04,-5923.4889,0.0,0.0106,ap1:25.2678,25.2678,0.0,0.0,4969.9126,3125.2722
9,ap1,86.9656,38.3953,0.01,0.0,7734.5265,0.0004,22.519,,0.0,26.0492,0.0,2157.1726,1834.6397
9,ap2,17.316,37.77,0.0018,0.01,-5433.9543,0.0004,0.0,ap1:1.179-ap3:10.1254-ap4:9.1513,20.4557,0.0,0.0,2157.1726,1834.6397
