step,household_id,production,consumption,stored_kwh,battery_pct,wallet,grid_buy,grid_sell,p2p_trades,p2p_buy_amount,p2p_sell_amount,central_battery_tax,grid_import_capacity,grid_export_capacity
0,ap1,3.0492,0.4877,2.4334,83.33,100.0008,0.0,0.0105,,0.0,0.0,0.0,4770.8621,4389.6008
0,ap2,2.1645,0.3955,4.5921,34.02,100.0,0.0,0.0,,0.0,0.0,0.0,4770.8621,4389.6008
0,ap3,2.6076,0.3044,5.0729,37.58,100.0,0.0,0.0,,0.0,0.0,0.0,4770.8621,4389.6008
0,ap4,2.6599,0.3536,5.0757,37.6,100.0,0.0,0.0,,0.0,0.0,0.0,4770.8621,4389.6008
0,cs1,2.1645,0.4581,4.5357,33.6,100.0,0.0,0.0,,0.0,0.0,0.0,4770.8621,4389.6008
1,ap1,2.9421,0.4286,4.8212,83.33,100.0008,0.0,0.0,,0.0,0.0,0.0,4840.3876,4167.1576
1,ap2,2.1645,0.4039,6.1767,45.75,100.0,0.0,0.0,,0.0,0.0,0.0,4840.3876,4167.1576
1,ap3,2.8016,0.4376,7.2006,53.34,100.0,0.0,0.0,,0.0,0.0,0.0,4840.3876,4167.1576
1,ap4,2.6348,0.3357,7.1449,52.93,100.0,0.0,0.0,,0.0,0.0,0.0,4840.3876,4167.1576
1,cs1,2.1645,0.4965,6.037,44.72,100.0,0.0,0.0,,0.0,0.0,0.0,4840.3876,4167.1576
2,ap1,8.699,3.6022,9.6631,83.33,100.0008,0.0,0.0,,0.0,0.0,0.0,2524.8743,1858.907
2,ap2,2.1645,3.4278,5.0397,37.33,100.0,0.0,0.0,,0.0,0.0,0.0,2524.8743,1858.907
2,ap3,6.5014,2.9787,10.371,76.82,100.0,0.0,0.0,,0.0,0.0,0.0,2524.8743,1858.907
2,ap4,7.0235,3.468,10.3449,76.63,100.0,0.0,0.0,,0.0,0.0,0.0,2524.8743,1858.907
2,cs1,2.1645,4.1259,4.2717,31.64,100.0,0.0,0.0,,0.0,0.0,0.0,2524.8743,1858.907
3,ap1,17.9322,8.6922,18.4411,83.33,100.0008,0.0,0.0,,0.0,0.0,0.0,2299.6454,1913.3012
3,ap2,2.1645,9.2512,0.0504,0.37,99.3769,2.0974,0.0,,0.0,0.0,0.0,2299.6454,1913.3012
3,ap3,16.1802,9.6264,13.5,100.0,100.2563,0.0,3.0771,,0.0,0.0,0.0,2299.6454,1913.3012
3,ap4,14.925,9.1075,13.5,100.0,100.1926,0.0,2.3119,,0.0,0.0,0.0,2299.6454,1913.3012
3,cs1,2.1645,10.5121,0.0427,0.32,98.7764,4.1186,0.0,,0.0,0.0,0.0,2299.6454,1913.3012
4,ap1,17.6904,8.5589,27.1161,83.33,100.0008,0.0,0.0,,0.0,0.0,0.0,2666.277,2012.2617
4,ap2,2.1645,9.5372,0.0005,0.0,97.7587,7.3228,0.0,,0.0,0.0,0.0,2666.277,2012.2617
4,ap3,15.145,8.9154,13.5,100.0,100.4723,0.0,6.2296,,0.0,0.0,0.0,2666.277,2012.2617
4,ap4,14.7445,8.9786,13.5,100.0,100.3925,0.0,5.7659,,0.0,0.0,0.0,2666.277,2012.2617
4,cs1,2.1645,11.0096,0.0004,0.0,96.8312,8.8028,0.0,,0.0,0.0,0.0,2666.277,2012.2617
5,ap1,20.2264,9.9569,36.8721,83.33,100.0008,0.0,0.0,,0.0,0.0,0.0,2584.6595,1942.9645
5,ap2,2.1645,8.4076,0.0,0.0,95.6092,6.2426,0.0,,0.0,0.0,0.0,2584.6595,1942.9645
5,ap3,15.8875,9.4254,13.5,100.0,100.9553,0.0,6.4621,,0.0,0.0,0.0,2584.6595,1942.9645
5,ap4,14.6978,8.9453,13.5,100.0,100.8225,0.0,5.7525,,0.0,0.0,0.0,2584.6595,1942.9645
5,cs1,2.1645,10.6819,0.0,0.0,93.8985,8.5169,0.0,,0.0,0.0,0.0,2584.6595,1942.9645
6,ap1,19.4661,9.5377,46.3041,83.33,100.0008,0.0,0.0,,0.0,0.0,0.0,5269.4493,3999.0241
6,ap2,2.1645,9.8377,0.0,0.0,94.0341,7.6732,0.0,,0.0,0.0,0.0,5269.4493,3999.0241
6,ap3,14.8015,8.6795,13.5,100.0,101.187,0.0,6.122,,0.0,0.0,0.0,5269.4493,3999.0241
6,ap4,14.774,8.9997,13.5,100.0,101.041,0.0,5.7743,,0.0,0.0,0.0,5269.4493,3999.0241
6,cs1,2.1645,11.3549,0.0,0.0,92.012,9.1904,0.0,,0.0,0.0,0.0,5269.4493,3999.0241
7,ap1,8.5666,3.5293,51.0896,83.33,100.0008,0.0,0.0,,0.0,0.0,0.0,4809.1575,3820.0739
7,ap2,2.1645,2.9102,0.0,0.0,93.8281,0.7457,0.0,,0.0,0.0,0.0,4809.1575,3820.0739
7,ap3,7.3113,3.535,13.5,100.0,101.4117,0.0,3.7763,,0.0,0.0,0.0,4809.1575,3820.0739
7,ap4,7.488,3.7995,13.5,100.0,101.2605,0.0,3.6885,,0.0,0.0,0.0,4809.1575,3820.0739
7,cs1,2.1645,3.9787,0.0,0.0,91.5108,1.8142,0.0,,0.0,0.0,0.0,4809.1575,3820.0739
8,ap1,3.0773,0.5032,53.535,83.33,100.0008,0.0,0.0,,0.0,0.0,0.0,4633.2922,4042.2638
8,ap2,2.1645,0.4613,1.5329,11.35,93.8281,0.0,0.0,,0.0,0.0,0.0,4633.2922,4042.2638
8,ap3,2.6432,0.3288,13.5,100.0,101.5239,0.0,2.3144,,0.0,0.0,0.0,4633.2922,4042.2638
8,ap4,2.7532,0.4201,13.5,100.0,101.3736,0.0,2.333,,0.0,0.0,0.0,4633.2922,4042.2638
8,cs1,2.1645,0.402,1.5863,11.75,91.5108,0.0,0.0,,0.0,0.0,0.0,4633.2922,4042.2638
9,ap1,2.8976,0.4041,55.9038,83.33,100.0008,0.0,0.0,,0.0,0.0,0.0,2440.0022,2049.2926
9,ap2,2.1645,0.4106,3.1114,23.05,93.8281,0.0,0.0,,0.0,0.0,0.0,2440.0022,2049.2926
9,ap3,2.7419,0.3966,13.5,100.0,101.6902,0.0,2.3453,,0.0,0.0,0.0,2440.0022,2049.2926
9,ap4,2.7923,0.4481,13.5,100.0,101.5398,0.0,2.3442,,0.0,0.0,0.0,2440.0022,2049.2926
9,cs1,2.1645,0.4462,3.1327,23.21,91.5108,0.0,0.0,,0.0,0.0,0.0,2440.0022,2049.2926
10,ap1,6.9989,2.665,60.0209,83.33,100.0008,0.0,0.0,,0.0,0.0,0.0,2391.26,1934.6518
10,ap2,2.1645,2.9056,2.4444,18.11,93.8281,0.0,0.0,,0.0,0.0,0.0,2391.26,1934.6518
10,ap3,6.3697,2.8883,13.5,100.0,102.0061,0.0,3.4814,,0.0,0.0,0.0,2391.26,1934.6518
10,ap4,6.2118,2.8887,13.5,100.0,101.8413,0.0,3.3232,,0.0,0.0,0.0,2391.26,1934.6518
10,cs1,2.1645,3.2619,2.1451,15.89,91.5108,0.0,0.0,,0.0,0.0,0.0,2391.26,1934.6518
11,ap1,16.6803,8.0021,68.2653,83.33,100.0008,0.0,0.0,,0.0,0.0,0.0,2304.9846,1966.9691
11,ap2,2.1645,7.4793,0.0244,0.18,93.3256,2.8949,0.0,,0.0,0.0,0.0,2304.9846,1966.9691
11,ap3,15.2315,8.9748,13.5,100.0,102.5708,0.0,6.2567,,0.0,0.0,0.0,2304.9846,1966.9691
11,ap4,13.7219,8.2488,13.5,100.0,102.3353,0.0,5.4731,,0.0,0.0,0.0,2304.9846,1966.9691
11,cs1,2.1645,8.8648,0.0215,0.16,90.7164,4.5767,0.0,,0.0,0.0,0.0,2304.9846,1966.9691
12,ap1,16.5454,7.9277,76.4521,83.33,100.0008,0.0,0.0,,0.0,0.0,0.0,2579.7966,1873.8291
12,ap2,2.1645,7.9027,0.0002,0.0,92.4602,5.714,0.0,,0.0,0.0,0.0,2579.7966,1873.8291
12,ap3,12.2016,6.8938,13.5,100.0,102.9788,0.0,5.3078,,0.0,0.0,0.0,2579.7966,1873.8291
12,ap4,14.134,8.5429,13.5,100.0,102.765,0.0,5.5911,,0.0,0.0,0.0,2579.7966,1873.8291
12,cs1,2.1645,9.0252,0.0002,0.0,89.6805,6.8395,0.0,,0.0,0.0,0.0,2579.7966,1873.8291
13,ap1,15.7685,7.4994,84.3078,83.33,100.0008,0.0,0.0,,0.0,0.0,0.0,5208.8314,4120.9463
13,ap2,2.1645,8.4569,0.0,0.0,90.9858,6.2921,0.0,,0.0,0.0,0.0,5208.8314,4120.9463
13,ap3,12.694,7.232,13.5,100.0,103.4697,0.0,5.462,,0.0,0.0,0.0,5208.8314,4120.9463
13,ap4,13.2043,7.8794,13.5,100.0,103.2436,0.0,5.3249,,0.0,0.0,0.0,5208.8314,4120.9463
13,cs1,2.1645,8.2856,0.0,0.0,88.2462,6.1209,0.0,,0.0,0.0,0.0,5208.8314,4120.9463
14,ap1,15.46,7.3294,92.032,83.33,100.0008,0.0,0.0,,0.0,0.0,0.0,4908.0648,4158.9462
14,ap2,2.1645,7.3426,0.0,0.0,89.4389,5.1781,0.0,,0.0,0.0,0.0,4908.0648,4158.9462
14,ap3,14.3608,8.3768,13.5,100.0,103.7927,0.0,5.984,,0.0,0.0,0.0,4908.0648,4158.9462
14,ap4,13.2226,7.8924,13.5,100.0,103.5314,0.0,5.3302,,0.0,0.0,0.0,4908.0648,4158.9462
14,cs1,2.1645,9.2553,0.0,0.0,86.128,7.0908,0.0,,0.0,0.0,0.0,4908.0648,4158.9462
15,ap1,7.2826,2.8214,96.2701,83.33,100.0008,0.0,0.0,,0.0,0.0,0.0,5685.2769,3972.0166
15,ap2,2.1645,2.9178,0.0,0.0,89.2995,0.7533,0.0,,0.0,0.0,0.0,5685.2769,3972.0166
15,ap3,6.1345,2.7267,13.5,100.0,104.079,0.0,3.4078,,0.0,0.0,0.0,5685.2769,3972.0166
15,ap4,6.1155,2.8199,13.5,100.0,103.8082,0.0,3.2956,,0.0,0.0,0.0,5685.2769,3972.0166
15,cs1,2.1645,3.4069,0.0,0.0,85.8982,1.2424,0.0,,0.0,0.0,0.0,5685.2769,3972.0166
16,ap1,2.7065,0.2988,98.5574,83.33,100.0008,0.0,0.0,,0.0,0.0,0.0,2406.4361,1977.8365
16,ap2,2.1645,0.4473,1.5455,11.45,89.2995,0.0,0.0,,0.0,0.0,0.0,2406.4361,1977.8365
16,ap3,2.8373,0.4621,13.5,100.0,104.1903,0.0,2.3752,,0.0,0.0,0.0,2406.4361,1977.8365
16,ap4,2.57,0.2894,13.5,100.0,103.9151,0.0,2.2806,,0.0,0.0,0.0,2406.4361,1977.8365
16,cs1,2.1645,0.4324,1.5589,11.55,85.8982,0.0,0.0,,0.0,0.0,0.0,2406.4361,1977.8365
17,ap1,2.9537,0.4351,100.9501,83.33,100.0008,0.0,0.0,,0.0,0.0,0.0,2511.5192,1989.9858
17,ap2,2.1645,0.4683,3.0721,22.76,89.2995,0.0,0.0,,0.0,0.0,0.0,2511.5192,1989.9858
