timestep,import_capacity_kw,export_capacity_kw
0,4770.862052823782,4389.600826797824
1,4840.387569384722,4167.157611373385
2,2524.8742949194457,1858.9069857598138
3,2299.64542338127,1913.30122214203
4,2666.2769649437855,2012.2616560735894
5,2584.6594912686805,1942.9644995292288
6,5269.4493373574,3999.024053329832
7,4809.157524391182,3820.073867595594
8,4633.29222635092,4042.2638180845415
9,2440.00224194918,2049.2926183129894
10,2391.259991742336,1934.6517867233183
11,2304.9845868072725,1966.9690917696253
12,2579.7965804235796,1873.8290607015422
13,5208.831352941325,4120.946269819681
14,4908.064812905145,4158.9461903360425
15,5685.276917905276,3972.016617323638
16,2406.43612252313,1977.836527351388
17,2511.5191959326467,1989.985848951344
18,2440.342016678599,2061.7867901722125
19,2360.002429167163,2012.186627305991
20,5251.564778872021,3940.812889415278
21,4903.558372971978,4342.353739737622
22,4683.64976064986,4012.5482234504516
23,2491.556276202087,2001.3952460418495
24,2552.0021103230297,1952.8832868522643
25,2488.1844928068053,1974.7312933368673
26,2410.0316471125966,1908.6247886770466
27,5049.57116239942,3910.549590242357
28,4822.755227897353,3922.1805091236074
29,5313.328300908572,3732.1092487661745
30,2324.6780189824167,2098.731377063644
31,2475.6550689509268,2101.921740966763
32,2726.432055799389,2166.620790980746
33,2667.5391511648113,1811.3489126743912
34,4927.782230391559,3539.871194039191
35,5215.484884956792,4207.626471153749
36,5016.70323283627,4013.225807665058
37,2535.3177251048396,2031.9805742605097
38,2429.396186844782,1938.48439214699
39,2566.5442844313234,1976.3220435770925
40,2440.6032484966213,1970.8751448263256
41,5175.32134613692,3981.6535143711003
42,5054.942174043638,3769.9866055330826
43,4810.479394897221,3951.284022993123
44,2525.3039683448715,2050.347877393491
45,2502.7984885563687,1959.5556220504309
46,2686.7616590024836,1953.5624569208494
47,2474.8052191501233,2231.14821122856
48,5058.552706508961,3838.5750371364543
49,5041.011302584139,3789.0972570601125
50,5303.601836049693,4046.5536664649553
51,2372.202403147732,2002.5763304830125
52,2535.164394334316,2000.5780349173742
53,2405.0158580369284,2027.8620621904788
54,2539.1562928363387,1876.37842541042
55,4495.584910224869,4041.7279641445666
56,4590.956316826387,4240.831507204781
57,4255.30111438978,3941.938210731534
58,2537.004643621926,1935.2188585577458
59,2332.851012721482,1892.5426554719402
60,2599.784451105938,2148.887109556042
61,2486.8694875389383,1917.1909705253563
62,5127.41951056512,4089.8071992181385
63,4691.118267357928,4065.573173250624
64,4768.498854720763,4123.371868167895
65,2569.5479953984295,2113.495831993221
66,2345.3156993754874,1843.6313235206842
67,2539.996078965156,1919.8895601524232
68,2543.5793871708406,2074.7091977577597
69,4948.094146971095,4168.9655805220145
70,4955.762176121086,3854.1299939344526
71,4457.44839067461,3867.246716192367
72,2580.7489539534185,1931.8998578890464
73,2608.322974262529,1889.7498770860807
74,2379.9087614658374,2082.0935024569258
75,2395.656767240194,1945.2007700023826
76,4820.418177965347,3980.8707578091467
77,5183.396743965597,3685.353575347743
78,5462.192992628518,3690.814694038661
79,2523.6262943049433,1882.1274816224811
80,2168.1283306930936,2171.3548406945715
81,2398.970080745042,2039.9171380270652
82,2449.1055708177787,2053.653537265882
83,5303.009356273718,3849.5126846177504
84,4937.586385361532,3917.2573589273798
85,5049.869101125837,3858.1147483352042
86,2568.8562458052847,2017.2245846418248
87,2622.4945384771677,1950.820745847012
88,2422.8224464288883,1962.4945795639153
89,2451.9037984429074,2060.3630745768305
90,5462.864309153284,3579.5414562073324
91,5066.440759434035,3954.171992933289
92,4918.163174006763,4083.2790811760538
93,2393.5429178279533,1734.0550118379397
94,2474.77454355932,2099.143995813241
95,2485.249844292176,2060.684303758518
96,2504.247951244393,2036.6094466573018
97,5236.806377766292,3935.8510038686463
98,5100.525669703133,3871.9901181966397
99,4927.614873180425,4171.376593667781
100,2532.5427756278186,1996.021985506776
101,2498.5980299147745,1901.7900338953998
102,2568.3695043846456,2120.328740073981
103,2213.471703047675,2079.9405234424894
104,5111.982214044289,3920.0958241811154
105,4957.756835252535,4155.091483914107
106,4972.7220288330145,3712.2142914600213
107,2651.4787593577253,2002.6169419111106
108,2676.001996065561,1859.4366551310784
109,2493.120056383749,1999.3440272793543
110,2300.8392996697344,1836.2148218685827
111,4727.093899445834,4156.41180653373
112,5358.25746164609,4073.5090870561653
113,5036.458095317858,3636.5686385894537
114,2542.3844035332695,2004.4872472662555
115,2416.5577705518845,1907.8851809597159
116,2620.5914486246247,1912.6346151444275
117,2623.397541852114,2101.765243283238
118,4904.64185784353,3506.646587534955
119,5110.6053176663445,4020.4635291507857
120,4911.696358422535,3976.800331986012
121,2625.2556032601037,2071.9467475738693
122,2645.8673043390672,2100.065669392781
123,2682.1943691317056,2203.3708142241985
124,2389.095541008344,2046.2413956013404
125,5043.995004750977,4139.9115291794
126,4631.534967717909,4287.045808563225
127,4862.067679812599,4025.7268518233227
128,2418.3646229098563,1893.2516497331685
129,2588.4164094377898,2013.9803256974699
130,2440.8532539650187,2069.936063593019
131,2200.294552373232,2144.14856067667
132,4923.578947789746,3784.315535151668
133,4711.364242203725,3835.7144048444547
134,4735.785378298863,3962.3344749570756
135,2416.7653857172595,1760.039275655712
136,2520.9593531962514,1941.9178457841092
137,2556.7781123644436,1990.2021916916992
138,2453.602929813858,2062.6513806387597
139,4919.40218678605,4189.208088189775
140,5324.524344483572,4189.346877087451
