step,household_id,production,consumption,stored_kwh,battery_pct,wallet,grid_buy,grid_sell,p2p_trades,p2p_buy_amount,p2p_sell_amount,central_battery_tax,grid_import_capacity,grid_export_capacity
0,ap1,3.0492,0.4877,0.01,0.0,100.2544,0.0,2.5688,,0.0,0.0,0.0,4770.8621,4389.6008
0,ap2,2.1645,0.3955,3.0,22.22,100.1752,0.0,1.769,,0.0,0.0,0.0,4770.8621,4389.6008
0,ap3,2.6076,0.3044,0.03,0.22,100.4954,0.0,5.0033,,0.0,0.0,0.0,4770.8621,4389.6008
0,ap4,2.6599,0.3536,0.03,0.22,100.4957,0.0,5.0063,,0.0,0.0,0.0,4770.8621,4389.6008
0,cs1,2.1645,0.4581,3.0,22.22,100.169,0.0,1.7064,,0.0,0.0,0.0,4770.8621,4389.6008
1,ap1,2.9421,0.4286,0.01,0.0,100.4562,0.0,2.5207,,0.0,0.0,0.0,4840.3876,4167.1576
1,ap2,2.1645,0.4039,3.0,22.22,100.3161,0.0,1.7606,,0.0,0.0,0.0,4840.3876,4167.1576
1,ap3,2.8016,0.4376,0.0003,0.0,100.6869,0.0,2.391,,0.0,0.0,0.0,4840.3876,4167.1576
1,ap4,2.6348,0.3357,0.0003,0.0,100.682,0.0,2.3261,,0.0,0.0,0.0,4840.3876,4167.1576
1,cs1,2.1645,0.4965,3.0,22.22,100.3025,0.0,1.668,,0.0,0.0,0.0,4840.3876,4167.1576
2,ap1,8.699,3.6022,0.01,0.0,101.1121,0.0,0.0,,0.0,5.104,0.0,2524.8743,1858.907
2,ap2,2.1645,3.4278,3.8263,28.34,100.0358,0.0,0.0,ap1:2.1814,2.1814,0.0,0.0,2524.8743,1858.907
2,ap3,6.5014,2.9787,3.1707,23.49,100.6869,0.0,0.0,,0.0,0.0,0.0,2524.8743,1858.907
2,ap4,7.0235,3.468,3.2003,23.71,100.682,0.0,0.0,,0.0,0.0,0.0,2524.8743,1858.907
2,cs1,2.1645,4.1259,3.8651,28.63,99.9269,0.0,0.0,ap1:2.9226,2.9226,0.0,0.0,2524.8743,1858.907
3,ap1,17.9322,8.6922,0.01,0.0,103.2567,0.0,1.4902,,0.0,7.7571,0.0,2299.6454,1913.3012
3,ap2,2.1645,9.2512,3.8263,28.34,98.1783,0.0,0.0,ap3:3.8077-ap4:3.2791,7.0867,0.0,0.0,2299.6454,1913.3012
3,ap3,16.1802,9.6264,0.698,5.17,101.84,0.0,0.0055,,0.0,4.3981,0.0,2299.6454,1913.3012
3,ap4,14.925,9.1075,2.374,17.59,101.5422,0.0,0.0106,,0.0,3.2791,0.0,2299.6454,1913.3012
3,cs1,2.1645,10.5121,3.8651,28.63,97.739,0.0,0.0,ap1:7.7571-ap3:0.5904,8.3476,0.0,0.0,2299.6454,1913.3012
4,ap1,17.6904,8.5589,0.01,0.0,104.2644,0.0,1.3208,,0.0,7.818,0.0,2666.277,2012.2617
4,ap2,2.1645,9.5372,3.7772,27.98,97.3401,0.0,0.0,ap4:3.6079-ap3:3.7201,7.328,0.0,0.0,2666.277,2012.2617
4,ap3,15.145,8.9154,0.0,0.0,102.4917,0.0,2.6347,,0.0,3.7201,0.0,2666.277,2012.2617
4,ap4,14.7445,8.9786,0.0,0.0,102.1786,0.0,1.2966,,0.0,4.5904,0.0,2666.277,2012.2617
4,cs1,2.1645,11.0096,3.816,28.27,96.7323,0.0,0.0,ap1:7.818-ap4:0.9825,8.8005,0.0,0.0,2666.277,2012.2617
5,ap1,20.2264,9.9569,0.01,0.0,105.3279,0.0,0.0,,0.0,10.2768,0.0,2584.6595,1942.9645
5,ap2,2.1645,8.4076,3.7772,27.98,96.6941,0.0,0.0,ap1:1.7594-ap3:2.5665-ap4:1.9172,6.2431,0.0,0.0,2584.6595,1942.9645
5,ap3,15.8875,9.4254,1.1962,8.86,102.7573,0.0,0.0,,0.0,2.5665,0.0,2584.6595,1942.9645
5,ap4,14.6978,8.9453,1.7262,12.79,102.377,0.0,0.0,,0.0,1.9172,0.0,2584.6595,1942.9645
5,cs1,2.1645,10.6819,3.816,28.27,95.8509,0.0,0.0,ap1:8.5174,8.5174,0.0,0.0,2584.6595,1942.9645
6,ap1,19.4661,9.5377,0.01,0.0,107.3193,0.0,3.7813,,0.0,6.1542,0.0,5269.4493,3999.0241
6,ap2,2.1645,9.8377,0.8581,6.36,95.3396,0.0,0.0,ap4:1.821-ap3:3.1984,5.0195,0.0,0.0,5269.4493,3999.0241
6,ap3,14.8015,8.6795,0.0,0.0,103.8762,0.0,2.9236,,0.0,3.1984,0.0,5269.4493,3999.0241
6,ap4,14.774,8.9997,0.0,0.0,103.4724,0.0,2.5373,,0.0,3.237,0.0,5269.4493,3999.0241
6,cs1,2.1645,11.3549,2.0338,15.07,93.8082,0.0,0.0,ap1:6.1542-ap4:1.4159,7.5702,0.0,0.0,5269.4493,3999.0241
7,ap1,8.5666,3.5293,0.01,0.0,107.7077,0.0,2.4847,,0.0,2.5599,0.0,4809.1575,3820.0739
7,ap2,2.1645,2.9102,0.8581,6.36,95.2615,0.0,0.0,ap1:0.7457,0.7457,0.0,0.0,4809.1575,3820.0739
7,ap3,7.3113,3.535,3.3987,25.18,103.8762,0.0,0.0,,0.0,0.0,0.0,4809.1575,3820.0739
7,ap4,7.488,3.7995,3.3196,24.59,103.4724,0.0,0.0,,0.0,0.0,0.0,4809.1575,3820.0739
7,cs1,2.1645,3.9787,2.0338,15.07,93.6181,0.0,0.0,ap1:1.8142,1.8142,0.0,0.0,4809.1575,3820.0739
8,ap1,3.0773,0.5032,0.01,0.0,107.9194,0.0,2.5814,,0.0,0.0,0.0,4633.2922,4042.2638
8,ap2,2.1645,0.4613,2.391,17.71,95.2615,0.0,0.0,,0.0,0.0,0.0,4633.2922,4042.2638
8,ap3,2.6432,0.3288,3.3987,25.18,104.066,0.0,2.3144,,0.0,0.0,0.0,4633.2922,4042.2638
8,ap4,2.7532,0.4201,3.3196,24.59,103.6638,0.0,2.333,,0.0,0.0,0.0,4633.2922,4042.2638
8,cs1,2.1645,0.402,3.6201,26.82,93.6181,0.0,0.0,,0.0,0.0,0.0,4633.2922,4042.2638
9,ap1,2.8976,0.4041,0.01,0.0,108.1378,0.0,2.5007,,0.0,0.0,0.0,2440.0022,2049.2926
9,ap2,2.1645,0.4106,3.9694,29.4,95.2615,0.0,0.0,,0.0,0.0,0.0,2440.0022,2049.2926
9,ap3,2.7419,0.3966,3.3987,25.18,104.2707,0.0,2.3453,,0.0,0.0,0.0,2440.0022,2049.2926
9,ap4,2.7923,0.4481,3.3196,24.59,103.8685,0.0,2.3442,,0.0,0.0,0.0,2440.0022,2049.2926
9,cs1,2.1645,0.4462,5.1665,38.27,93.6181,0.0,0.0,,0.0,0.0,0.0,2440.0022,2049.2926
10,ap1,6.9989,2.665,0.01,0.0,108.4594,0.0,3.4111,,0.0,0.93,0.0,2391.26,1934.6518
10,ap2,2.1645,2.9056,3.1542,23.36,95.2615,0.0,0.0,,0.0,0.0,0.0,2391.26,1934.6518
10,ap3,6.3697,2.8883,3.2853,24.34,104.5216,0.0,3.5845,,0.0,0.0,0.0,2391.26,1934.6518
10,ap4,6.2118,2.8887,3.5482,26.28,104.0832,0.0,3.0691,,0.0,0.0,0.0,2391.26,1934.6518
10,cs1,2.1645,3.2619,4.9824,36.91,93.5352,0.0,0.0,ap1:0.93,0.93,0.0,0.0,2391.26,1934.6518
11,ap1,16.6803,8.0021,0.01,0.0,109.2685,0.0,8.6855,,0.0,0.0,0.0,2304.9846,1966.9691
11,ap2,2.1645,7.4793,0.0315,0.23,94.9524,2.476,0.0,,0.0,0.0,0.0,2304.9846,1966.9691
11,ap3,15.2315,8.9748,0.0329,0.24,105.3799,0.0,9.2134,,0.0,0.0,0.0,2304.9846,1966.9691
11,ap4,13.7219,8.2488,0.0355,0.26,104.8906,0.0,8.6665,,0.0,0.0,0.0,2304.9846,1966.9691
11,cs1,2.1645,8.8648,0.0498,0.37,93.2586,2.2161,0.0,,0.0,0.0,0.0,2304.9846,1966.9691
12,ap1,16.5454,7.9277,0.01,0.0,110.6475,0.0,0.0,,0.0,8.625,0.0,2579.7966,1873.8291
12,ap2,2.1645,7.9027,0.0315,0.23,94.035,0.0,0.0,ap1:1.7643-ap4:2.1542-ap3:1.8197,5.7382,0.0,0.0,2579.7966,1873.8291
12,ap3,12.2016,6.8938,1.5343,11.37,105.6708,0.0,0.0,,0.0,1.8197,0.0,2579.7966,1873.8291
12,ap4,14.134,8.5429,1.19,8.81,105.235,0.0,0.0,,0.0,2.1542,0.0,2579.7966,1873.8291
12,cs1,2.1645,9.0252,0.0498,0.37,92.1617,0.0,0.0,ap1:6.8607,6.8607,0.0,0.0,2579.7966,1873.8291
13,ap1,15.7685,7.4994,0.01,0.0,112.0529,0.0,3.0561,,0.0,5.2203,0.0,5208.8314,4120.9463
13,ap2,2.1645,8.4569,0.0003,0.0,92.6634,0.0,0.0,ap1:5.2203-ap3:1.0437,6.264,0.0,0.0,5208.8314,4120.9463
13,ap3,12.694,7.232,0.0,0.0,106.7664,0.0,3.0257,,0.0,3.8173,0.0,5208.8314,4120.9463
13,ap4,13.2043,7.8794,0.0,0.0,106.2237,0.0,3.0932,,0.0,3.3027,0.0,5208.8314,4120.9463
13,cs1,2.1645,8.2856,0.0005,0.0,90.8312,0.0,0.0,ap3:2.7736-ap4:3.3027,6.0763,0.0,0.0,5208.8314,4120.9463
14,ap1,15.46,7.3294,0.01,0.0,113.4276,0.0,0.0,,0.0,8.1379,0.0,4908.0648,4158.9462
14,ap2,2.1645,7.3426,0.0003,0.0,91.7887,0.0,0.0,ap1:1.0472-ap3:2.4142-ap4:1.7168,5.1781,0.0,0.0,4908.0648,4158.9462
14,ap3,14.3608,8.3768,1.04,7.7,107.1742,0.0,0.0,,0.0,2.4142,0.0,4908.0648,4158.9462
14,ap4,13.2226,7.8924,1.707,12.64,106.5137,0.0,0.0,,0.0,1.7168,0.0,4908.0648,4158.9462
14,cs1,2.1645,9.2553,0.0005,0.0,89.6334,0.0,0.0,ap1:7.0908,7.0908,0.0,0.0,4908.0648,4158.9462
