step,household_id,production,consumption,stored_kwh,battery_pct,wallet,grid_buy,grid_sell,p2p_trades,p2p_buy_amount,p2p_sell_amount,central_battery_tax,grid_import_capacity,grid_export_capacity
0,ap1,3.0492,0.4877,2.4334,83.33,100.0006,0.0,0.0105,,0.0,0.0,0.0,5486.5183,3851.8044
0,ap2,2.1645,0.3955,4.5921,34.02,100.0,0.0,0.0,,0.0,0.0,0.0,5486.5183,3851.8044
0,ap3,2.6076,0.3044,5.0729,37.58,100.0,0.0,0.0,,0.0,0.0,0.0,5486.5183,3851.8044
0,ap4,2.6599,0.3536,5.0757,37.6,100.0,0.0,0.0,,0.0,0.0,0.0,5486.5183,3851.8044
0,cs1,2.1645,0.4581,4.5357,33.6,100.0,0.0,0.0,,0.0,0.0,0.0,5486.5183,3851.8044
1,ap1,2.9421,0.4286,4.8212,83.33,100.0006,0.0,0.0,,0.0,0.0,0.0,5030.6917,3952.5435
1,ap2,2.1645,0.4039,6.1767,45.75,100.0,0.0,0.0,,0.0,0.0,0.0,5030.6917,3952.5435
1,ap3,2.8016,0.4376,7.2006,53.34,100.0,0.0,0.0,,0.0,0.0,0.0,5030.6917,3952.5435
1,ap4,2.6348,0.3357,7.1449,52.93,100.0,0.0,0.0,,0.0,0.0,0.0,5030.6917,3952.5435
1,cs1,2.1645,0.4965,6.037,44.72,100.0,0.0,0.0,,0.0,0.0,0.0,5030.6917,3952.5435
2,ap1,8.699,3.6022,9.6631,83.33,100.0006,0.0,0.0,,0.0,0.0,0.0,2341.8498,2012.9673
2,ap2,2.1645,3.4278,5.0397,37.33,100.0,0.0,0.0,,0.0,0.0,0.0,2341.8498,2012.9673
2,ap3,6.5014,2.9787,10.371,76.82,100.0,0.0,0.0,,0.0,0.0,0.0,2341.8498,2012.9673
2,ap4,7.0235,3.468,10.3449,76.63,100.0,0.0,0.0,,0.0,0.0,0.0,2341.8498,2012.9673
2,cs1,2.1645,4.1259,4.2717,31.64,100.0,0.0,0.0,,0.0,0.0,0.0,2341.8498,2012.9673
3,ap1,17.9322,8.6922,18.4411,83.33,100.0006,0.0,0.0,,0.0,0.0,0.0,2193.8742,1903.3719
3,ap2,2.1645,9.2512,0.0504,0.37,99.2832,2.0974,0.0,,0.0,0.0,0.0,2193.8742,1903.3719
3,ap3,16.1802,9.6264,13.5,100.0,100.223,0.0,3.0771,,0.0,0.0,0.0,2193.8742,1903.3719
3,ap4,14.925,9.1075,13.5,100.0,100.1676,0.0,2.3119,,0.0,0.0,0.0,2193.8742,1903.3719
3,cs1,2.1645,10.5121,0.0427,0.32,98.5924,4.1186,0.0,,0.0,0.0,0.0,2193.8742,1903.3719
4,ap1,17.6904,8.5589,27.1161,83.33,100.0006,0.0,0.0,,0.0,0.0,0.0,2580.3865,2014.0578
4,ap2,2.1645,9.5372,0.0005,0.0,96.7386,7.3228,0.0,,0.0,0.0,0.0,2580.3865,2014.0578
4,ap3,15.145,8.9154,13.5,100.0,100.8077,0.0,6.2296,,0.0,0.0,0.0,2580.3865,2014.0578
4,ap4,14.7445,8.9786,13.5,100.0,100.7088,0.0,5.7659,,0.0,0.0,0.0,2580.3865,2014.0578
4,cs1,2.1645,11.0096,0.0004,0.0,95.5335,8.8028,0.0,,0.0,0.0,0.0,2580.3865,2014.0578
5,ap1,20.2264,9.9569,36.8721,83.33,100.0006,0.0,0.0,,0.0,0.0,0.0,2432.5273,1984.9129
5,ap2,2.1645,8.4076,0.0,0.0,95.6712,6.2426,0.0,,0.0,0.0,0.0,2432.5273,1984.9129
5,ap3,15.8875,9.4254,13.5,100.0,101.0508,0.0,6.4621,,0.0,0.0,0.0,2432.5273,1984.9129
5,ap4,14.6978,8.9453,13.5,100.0,100.9252,0.0,5.7525,,0.0,0.0,0.0,2432.5273,1984.9129
5,cs1,2.1645,10.6819,0.0,0.0,94.0773,8.5169,0.0,,0.0,0.0,0.0,2432.5273,1984.9129
6,ap1,19.4661,9.5377,46.3041,83.33,100.0006,0.0,0.0,,0.0,0.0,0.0,5063.6918,4032.5485
6,ap2,2.1645,9.8377,0.0,0.0,94.5162,7.6732,0.0,,0.0,0.0,0.0,5063.6918,4032.5485
6,ap3,14.8015,8.6795,13.5,100.0,101.2362,0.0,6.122,,0.0,0.0,0.0,5063.6918,4032.5485
6,ap4,14.774,8.9997,13.5,100.0,101.1,0.0,5.7743,,0.0,0.0,0.0,5063.6918,4032.5485
6,cs1,2.1645,11.3549,0.0,0.0,92.6938,9.1904,0.0,,0.0,0.0,0.0,5063.6918,4032.5485
7,ap1,8.5666,3.5293,51.0896,83.33,100.0006,0.0,0.0,,0.0,0.0,0.0,5400.1859,4109.3425
7,ap2,2.1645,2.9102,0.0,0.0,94.3448,0.7457,0.0,,0.0,0.0,0.0,5400.1859,4109.3425
7,ap3,7.3113,3.535,13.5,100.0,101.4615,0.0,3.7763,,0.0,0.0,0.0,5400.1859,4109.3425
7,ap4,7.488,3.7995,13.5,100.0,101.3201,0.0,3.6885,,0.0,0.0,0.0,5400.1859,4109.3425
7,cs1,2.1645,3.9787,0.0,0.0,92.277,1.8142,0.0,,0.0,0.0,0.0,5400.1859,4109.3425
8,ap1,3.0773,0.5032,53.535,83.33,100.0006,0.0,0.0,,0.0,0.0,0.0,4955.5371,4179.9925
8,ap2,2.1645,0.4613,1.5329,11.35,94.3448,0.0,0.0,,0.0,0.0,0.0,4955.5371,4179.9925
8,ap3,2.6432,0.3288,13.5,100.0,101.6141,0.0,2.3144,,0.0,0.0,0.0,4955.5371,4179.9925
8,ap4,2.7532,0.4201,13.5,100.0,101.4738,0.0,2.333,,0.0,0.0,0.0,4955.5371,4179.9925
8,cs1,2.1645,0.402,1.5863,11.75,92.277,0.0,0.0,,0.0,0.0,0.0,4955.5371,4179.9925
9,ap1,2.8976,0.4041,55.9038,83.33,100.0006,0.0,0.0,,0.0,0.0,0.0,2401.051,1903.3449
9,ap2,2.1645,0.4106,3.1114,23.05,94.3448,0.0,0.0,,0.0,0.0,0.0,2401.051,1903.3449
9,ap3,2.7419,0.3966,13.5,100.0,101.7185,0.0,2.3453,,0.0,0.0,0.0,2401.051,1903.3449
9,ap4,2.7923,0.4481,13.5,100.0,101.5782,0.0,2.3442,,0.0,0.0,0.0,2401.051,1903.3449
9,cs1,2.1645,0.4462,3.1327,23.21,92.277,0.0,0.0,,0.0,0.0,0.0,2401.051,1903.3449
10,ap1,6.9989,2.665,60.0209,83.33,100.0006,0.0,0.0,,0.0,0.0,0.0,2348.3432,2020.3425
10,ap2,2.1645,2.9056,2.4444,18.11,94.3448,0.0,0.0,,0.0,0.0,0.0,2348.3432,2020.3425
10,ap3,6.3697,2.8883,13.5,100.0,101.8533,0.0,3.4814,,0.0,0.0,0.0,2348.3432,2020.3425
10,ap4,6.2118,2.8887,13.5,100.0,101.7069,0.0,3.3232,,0.0,0.0,0.0,2348.3432,2020.3425
10,cs1,2.1645,3.2619,2.1451,15.89,92.277,0.0,0.0,,0.0,0.0,0.0,2348.3432,2020.3425
11,ap1,16.6803,8.0021,68.2653,83.33,100.0006,0.0,0.0,,0.0,0.0,0.0,2557.3915,1951.0987
11,ap2,2.1645,7.4793,0.0244,0.18,93.7863,2.8949,0.0,,0.0,0.0,0.0,2557.3915,1951.0987
11,ap3,15.2315,8.9748,13.5,100.0,102.4586,0.0,6.2567,,0.0,0.0,0.0,2557.3915,1951.0987
11,ap4,13.7219,8.2488,13.5,100.0,102.2364,0.0,5.4731,,0.0,0.0,0.0,2557.3915,1951.0987
11,cs1,2.1645,8.8648,0.0215,0.16,91.394,4.5767,0.0,,0.0,0.0,0.0,2557.3915,1951.0987
12,ap1,16.5454,7.9277,76.4521,83.33,100.0006,0.0,0.0,,0.0,0.0,0.0,2437.8538,1806.1097
12,ap2,2.1645,7.9027,0.0002,0.0,91.9145,5.714,0.0,,0.0,0.0,0.0,2437.8538,1806.1097
12,ap3,12.2016,6.8938,13.5,100.0,102.865,0.0,5.3078,,0.0,0.0,0.0,2437.8538,1806.1097
12,ap4,14.134,8.5429,13.5,100.0,102.6644,0.0,5.5911,,0.0,0.0,0.0,2437.8538,1806.1097
12,cs1,2.1645,9.0252,0.0002,0.0,89.1535,6.8395,0.0,,0.0,0.0,0.0,2437.8538,1806.1097
13,ap1,15.7685,7.4994,84.3078,83.33,100.0006,0.0,0.0,,0.0,0.0,0.0,5083.526,3878.6556
13,ap2,2.1645,8.4569,0.0,0.0,89.7908,6.2921,0.0,,0.0,0.0,0.0,5083.526,3878.6556
13,ap3,12.694,7.232,13.5,100.0,103.1098,0.0,5.462,,0.0,0.0,0.0,5083.526,3878.6556
13,ap4,13.2043,7.8794,13.5,100.0,102.9032,0.0,5.3249,,0.0,0.0,0.0,5083.526,3878.6556
13,cs1,2.1645,8.2856,0.0,0.0,87.0876,6.1209,0.0,,0.0,0.0,0.0,5083.526,3878.6556
14,ap1,15.46,7.3294,92.032,83.33,100.0006,0.0,0.0,,0.0,0.0,0.0,5182.0698,4021.4601
14,ap2,2.1645,7.3426,0.0,0.0,88.4283,5.1781,0.0,,0.0,0.0,0.0,5182.0698,4021.4601
14,ap3,14.3608,8.3768,13.5,100.0,103.3728,0.0,5.984,,0.0,0.0,0.0,5182.0698,4021.4601
14,ap4,13.2226,7.8924,13.5,100.0,103.1374,0.0,5.3302,,0.0,0.0,0.0,5182.0698,4021.4601
14,cs1,2.1645,9.2553,0.0,0.0,85.2217,7.0908,0.0,,0.0,0.0,0.0,5182.0698,4021.4601
15,ap1,7.2826,2.8214,96.2701,83.33,100.0006,0.0,0.0,,0.0,0.0,0.0,4702.6986,3820.6876
15,ap2,2.1645,2.9178,0.0,0.0,88.1906,0.7533,0.0,,0.0,0.0,0.0,4702.6986,3820.6876
15,ap3,6.1345,2.7267,13.5,100.0,103.6114,0.0,3.4078,,0.0,0.0,0.0,4702.6986,3820.6876
15,ap4,6.1155,2.8199,13.5,100.0,103.3681,0.0,3.2956,,0.0,0.0,0.0,4702.6986,3820.6876
15,cs1,2.1645,3.4069,0.0,0.0,84.8298,1.2424,0.0,,0.0,0.0,0.0,4702.6986,3820.6876
16,ap1,2.7065,0.2988,98.5574,83.33,100.0006,0.0,0.0,,0.0,0.0,0.0,2579.8138,1966.1158
16,ap2,2.1645,0.4473,1.5455,11.45,88.1906,0.0,0.0,,0.0,0.0,0.0,2579.8138,1966.1158
16,ap3,2.8373,0.4621,13.5,100.0,103.8337,0.0,2.3752,,0.0,0.0,0.0,2579.8138,1966.1158
16,ap4,2.57,0.2894,13.5,100.0,103.5816,0.0,2.2806,,0.0,0.0,0.0,2579.8138,1966.1158
16,cs1,2.1645,0.4324,1.5589,11.55,84.8298,0.0,0.0,,0.0,0.0,0.0,2579.8138,1966.1158
17,ap1,2.9537,0.4351,100.9501,83.33,100.0006,0.0,0.0,,0.0,0.0,0.0,2309.96,2174.3445
17,ap2,2.1645,0.4683,3.0721,22.76,88.1906,0.0,0.0,,0.0,0.0,0.0,2309.96,2174.3445
17,ap3,2.895,0.5017,13.5,100.0,103.9512,0.0,2.3933,,0.0,0.0,0.0,2309.96,2174.3445
17,ap4,2.7033,0.3846,13.5,100.0,103.6954,0.0,2.3188,,0.0,0.0,0.0,2309.96,2174.3445
17,cs1,2.1645,0.5148,3.0436,22.55,84.8298,0.0,0.0,,0.0,0.0,0.0,2309.96,2174.3445
