timestep,import_capacity_kw,export_capacity_kw
0,5486.518260559894,3851.8044103040784
1,5030.691720852589,3952.543492820262
2,2341.8498040644563,2012.967335348971
3,2193.874218784684,1903.3718607440342
4,2580.3864555946284,2014.057785344297
5,2432.52730462495,1984.912915083401
6,5063.691752535095,4032.548525838301
7,5400.185899634633,4109.342505115074
8,4955.537143261556,4179.992470335724
9,2401.0509976430394,1903.3449207568037
10,2348.34315592458,2020.3425291442825
11,2557.3914841385285,1951.0986944889437
12,2437.8538348718507,1806.1097203607528
13,5083.526028151171,3878.655573769913
14,5182.069835496354,4021.4600593016953
15,4702.698623351431,3820.6875759362
16,2579.8137768666634,1966.1158355236985
17,2309.9600103028038,2174.344477041494
18,2545.028658117927,2016.1809931791872
19,2724.283878893336,2062.44867004671
20,5518.498780826247,3747.6997616192034
21,4846.637209260005,4157.460448340077
22,4651.593050902035,3984.2517390813355
23,2596.975127424975,1826.7970395409168
24,2494.923159923024,1856.729459992693
25,2423.151911825376,1937.6170894720142
26,2516.9224645701715,1875.0010339806968
27,4631.50589360128,4157.5851430218545
28,4993.524018618198,4159.412487510354
29,4951.907734338465,4072.7661133746196
30,2409.348936694713,1976.9384009836651
31,2397.1805419789616,2076.179434186304
32,2569.7373289657444,1984.56076091958
33,2510.2222307951024,1975.1177578961745
34,4702.891934161147,4376.956918103638
35,4893.769703376447,4387.6215551031155
36,4854.539060216541,3702.321426888881
37,2505.924890476747,1975.3779870752119
38,2693.0448456996082,2101.6731443459985
39,2512.0788366611905,1860.7435881661404
40,2844.876963258353,2037.855864730892
41,4949.056864603659,4106.986435382139
42,5401.302765454655,4227.915345365252
43,4598.4597426240525,4115.2132050591645
44,2432.1865157592574,2062.1128200264325
45,2406.650325832432,2096.8328296440673
46,2520.406470065768,1987.806071900519
47,2678.8395686451427,1975.5070024831214
48,5450.717839167732,4331.002029297148
49,5299.995612763413,4037.4375319423725
50,4522.267389895309,3958.447733532492
51,2511.62534821107,1958.838435296417
52,2437.506281577679,2091.7101037211987
53,2468.3916178622217,2039.8802049429564
54,2581.4215124278694,2065.677484298299
55,5043.856249517483,3996.4420224363325
56,4829.310120701395,4320.239736850764
57,5014.4055785014825,3870.5620184648296
58,2497.8409454831367,1844.9196327720097
59,2492.032175781537,2033.2846117099214
60,2665.7724288543945,2045.9778822218975
61,2638.756578406089,2041.3458516498583
62,4977.623363314246,3857.920841920347
63,4846.174993005267,3822.7435482129945
64,5398.535148898062,3905.405154390237
65,2585.177102857711,2011.7744324338944
66,2458.8284141279823,1881.5954921868395
67,2668.6101107562827,2058.5099369679333
68,2475.761584566563,1916.437074987163
69,5407.25734431096,4280.547007813939
70,4940.528248069902,3774.4353130703016
71,5146.6388373875825,3918.802619903587
72,2545.341247926879,2061.262886112808
73,2330.67546411376,2277.2116017854987
74,2618.283061187649,2068.3347867263883
75,2446.733129483906,1930.9288849290308
76,5148.271549596892,3883.044536639369
77,5312.409844436723,3904.115217055401
78,5081.807040528208,3959.173208379328
79,2755.4724766325485,2068.097003338189
80,2554.4301242950055,1852.6863499933952
81,2544.2424469004272,2043.6768498734202
82,2410.807631395572,2068.797275048901
83,5276.6685228732595,4128.564909444557
84,4692.977951086441,3933.5100204430933
85,5090.564622288297,4004.8922334533836
86,2445.83741900375,1841.62904840885
87,2454.793087917681,2020.3450852432425
88,2186.3800566064283,2019.4392318646098
89,2486.4425434673612,2076.322874011196
90,5106.22060493969,3965.8730195209937
91,4905.387567785733,3847.0998788898974
92,4934.465272523915,3716.3033000085406
93,2560.9350621105514,1865.0904456893995
94,2326.8008680925896,2072.4136295039816
95,2434.237314961274,1906.3094099023706
96,2518.528314287562,1903.217318805204
97,5105.7061045907285,4307.645257216068
98,4759.04796785759,3794.790000602504
99,4790.473831915168,4029.2853339409644
100,2289.0232130250315,2136.51402624222
101,2536.080053648365,1964.654584257839
102,2342.91926167383,2072.051560871679
103,2379.3442291621604,1909.7942464335338
104,5025.408129538149,4216.179148180939
105,5024.579140331895,3628.510941302497
106,4834.458639291068,4276.873691861545
107,2652.247364553073,1883.4438729048313
108,2454.9108944770355,2043.2871770402023
109,2398.419265852474,2017.2990234529716
110,2656.7481145364113,1987.5196181100775
111,4603.861299815625,3899.4166276318406
112,5235.8260447283465,3646.7545933475553
113,4601.289665711225,4338.3077683022675
114,2543.399732285419,2055.890020889672
115,2473.0776085644925,2075.7346109319947
116,2412.613707737024,2115.0029615679605
117,2800.9189786734937,1979.9314666570026
118,5291.051230108647,4099.568058407644
119,5320.938013361783,3970.8492540118923
120,4853.800383005974,4051.0826501745782
121,2439.268465914619,2124.469608093432
122,2698.542812386331,1968.3055019757176
123,2324.928409048716,2020.4459962826209
124,2382.1161982703134,2133.213917193455
125,5265.837960577677,3906.444729745994
126,4644.444957538564,4174.602278332315
127,5241.7485466037715,4158.95597650421
128,2459.089952381378,1795.983863374383
129,2524.9955744643066,1851.7598983830496
130,2683.2735828824643,1924.8002195364559
131,2580.560888001252,1958.093405773169
132,5061.575529802345,4222.958416019162
133,4517.733642031054,3989.6707458079163
134,4632.456794297953,4443.518215141337
135,2418.5728278414877,2050.435971651431
136,2594.214543017576,2071.701719634952
137,2305.084006991765,2132.7223576626925
138,2581.3238444128206,2035.005844306713
139,5036.077589718843,3830.4033235166103
140,4874.071594029312,4047.24765827247
141,4930.684232610539,4378.634852184722
142,2472.506376112954,1951.3692647822238
143,2442.2036774358025,2094.3687463004176
144,2683.696315169382,1877.3521817364106
145,2440.6111430020737,2008.5714082922075
146,5313.248537045446,4145.025063048829
147,4780.137998113013,4063.547582693328
148,4795.984091285481,4236.611714947429
149,2497.8456250776853,1998.6080230725838
150,2677.670127849335,1814.5437768171714
151,2683.1961940419324,2062.6404258426733
152,2494.252832717396,1935.6271174601172
153,4722.176971108939,3958.311866637382
154,4900.126054902312,4282.033163597622
155,5122.256348867672,4142.165215219638
156,2445.3225039706535,1872.0647900687607
157,2705.6728584623015,1871.0916620472542
158,2603.205870609663,1894.9141518520105
159,2579.7257455028666,2078.9861537026923
160,4890.623211412651,4193.059856742024
161,5405.254050431182,4280.031930084735
162,5373.9640767647315,3972.787040449735
163,2466.3915759911415,2103.7211022727165
164,2494.3395935161016,1952.723516434336
165,2449.3921017887014,1935.3078111771429
166,2407.4978958848546,2052.975571515272
167,5081.80185796896,4065.767821458023
168,5215.567252524529,3892.821488923655
169,5059.618853237367,3985.5500950689725
170,2535.5007193686606,2039.6300289859637
171,2514.260199844782,2012.1558866601981
172,2267.0057700633333,1840.8848303773977
173,2468.0917325350115,1978.3651708008256
174,5120.047974031266,4267.547853252621
175,4913.878199077749,4088.1004939226937
176,4702.167594886254,4376.614937253669
177,2658.382520876141,2022.6760984347725
178,2606.321393106171,2025.5783998733539
179,2494.3973809759573,1963.231484032706
180,2419.0137311059502,2005.435877716267
181,4784.77894032422,3998.635242153372
182,4865.496941157394,4236.624147870031
183,4980.333102923316,4088.6764334469585
184,2467.804600551919,2035.1453207724069
185,2620.0136547556494,1967.4132569554267
186,2422.516203099627,1942.748903999011
187,2393.93982138172,2049.0471947938704
188,4692.0379526084425,4010.871608291031
189,5124.203809738318,3784.615782914276
190,4836.835234377056,3795.112508705551
191,2611.41445445722,1928.5051967612667
192,2611.708692378753,2145.962237093012
193,2350.689855334238,2047.654484059739
194,2466.090628202252,1972.6114234098857
195,5153.648805039785,4009.162305689262
196,5322.005117155079,4384.974678234159
197,5058.866450611717,3904.755814951845
198,2559.659673514104,1811.5048367217291
