step,household_id,production,consumption,stored_kwh,battery_pct,wallet,grid_buy,grid_sell,p2p_trades,p2p_buy_amount,p2p_sell_amount,central_battery_tax,grid_import_capacity,grid_export_capacity
0,ap1,3.0492,0.4877,0.01,0.0,100.2155,0.0,2.5615,,0.0,0.0,0.0,5486.5183,3851.8044
0,ap2,2.1645,0.3955,4.5921,34.02,100.0,0.0,0.0,,0.0,0.0,0.0,5486.5183,3851.8044
0,ap3,2.6076,0.3044,5.0729,37.58,100.0,0.0,0.0,,0.0,0.0,0.0,5486.5183,3851.8044
0,ap4,2.6599,0.3536,5.0757,37.6,100.0,0.0,0.0,,0.0,0.0,0.0,5486.5183,3851.8044
0,cs1,2.1645,0.4581,4.5357,33.6,100.0,0.0,0.0,,0.0,0.0,0.0,5486.5183,3851.8044
1,ap1,2.9421,0.4286,0.01,0.0,100.3629,0.0,2.5134,,0.0,0.0,0.0,5030.6917,3952.5435
1,ap2,2.1645,0.4039,6.1767,45.75,100.0,0.0,0.0,,0.0,0.0,0.0,5030.6917,3952.5435
1,ap3,2.8016,0.4376,6.5823,48.76,100.0403,0.0,0.687,,0.0,0.0,0.0,5030.6917,3952.5435
1,ap4,2.6348,0.3357,6.5826,48.76,100.0366,0.0,0.6248,,0.0,0.0,0.0,5030.6917,3952.5435
1,cs1,2.1645,0.4965,6.037,44.72,100.0,0.0,0.0,,0.0,0.0,0.0,5030.6917,3952.5435
2,ap1,8.699,3.6022,0.01,0.0,100.7847,0.0,5.0967,,0.0,0.0,0.0,2341.8498,2012.9673
2,ap2,2.1645,3.4278,4.7871,35.46,100.0,0.0,0.0,,0.0,0.0,0.0,2341.8498,2012.9673
2,ap3,6.5014,2.9787,6.7332,49.88,100.318,0.0,3.355,,0.0,0.0,0.0,2341.8498,2012.9673
2,ap4,7.0235,3.468,6.7333,49.88,100.3171,0.0,3.3881,,0.0,0.0,0.0,2341.8498,2012.9673
2,cs1,2.1645,4.1259,3.8794,28.74,100.0,0.0,0.0,,0.0,0.0,0.0,2341.8498,2012.9673
3,ap1,17.9322,8.6922,0.01,0.0,103.0987,0.0,0.0,,0.0,9.2401,0.0,2193.8742,1903.3719
3,ap2,2.1645,9.2512,2.4913,18.45,98.7479,0.0,0.0,ap1:2.0719-ap3:2.9278,4.9997,0.0,0.0,2193.8742,1903.3719
3,ap3,16.1802,9.6264,3.5311,26.16,101.265,0.0,3.6092,,0.0,2.9278,0.0,2193.8742,1903.3719
3,ap4,14.925,9.1075,6.7483,49.99,100.6607,0.0,5.8008,,0.0,0.0,0.0,2193.8742,1903.3719
3,cs1,2.1645,10.5121,2.5821,19.13,98.2048,0.0,0.0,ap1:7.1682,7.1682,0.0,0.0,2193.8742,1903.3719
4,ap1,17.6904,8.5589,0.01,0.0,104.5473,0.0,0.2864,,0.0,8.8451,0.0,2580.3865,2014.0578
4,ap2,2.1645,9.5372,2.4913,18.45,97.5543,0.0,0.0,ap4:5.7642-ap3:1.6085,7.3727,0.0,0.0,2580.3865,2014.0578
4,ap3,15.145,8.9154,4.9805,36.89,101.6063,0.0,1.4022,,0.0,1.6085,0.0,2580.3865,2014.0578
4,ap4,14.7445,8.9786,0.4095,3.03,101.594,0.0,0.0,,0.0,5.7642,0.0,2580.3865,2014.0578
4,cs1,2.1645,11.0096,2.5821,19.13,96.7728,0.0,0.0,ap1:8.8451,8.8451,0.0,0.0,2580.3865,2014.0578
5,ap1,20.2264,9.9569,0.01,0.0,106.7607,0.0,0.0,,0.0,10.2695,0.0,2432.5273,1984.9129
5,ap2,2.1645,8.4076,2.4913,18.45,96.2087,0.0,0.0,ap1:1.7521-ap3:4.491,6.2431,0.0,0.0,2432.5273,1984.9129
5,ap3,15.8875,9.4254,1.9869,14.72,102.5845,0.0,0.2016,,0.0,4.491,0.0,2432.5273,1984.9129
5,ap4,14.6978,8.9453,5.5868,41.38,101.594,0.0,0.0,,0.0,0.0,0.0,2432.5273,1984.9129
5,cs1,2.1645,10.6819,2.5821,19.13,94.937,0.0,0.0,ap1:8.5174,8.5174,0.0,0.0,2432.5273,1984.9129
6,ap1,19.4661,9.5377,0.01,0.0,107.7896,0.0,0.0,,0.0,9.9283,0.0,5063.6918,4032.5485
6,ap2,2.1645,9.8377,2.4913,18.45,95.3885,0.9653,0.0,ap1:0.7379-ap4:4.6111-ap3:1.3589,6.7079,0.0,0.0,5063.6918,4032.5485
6,ap3,14.8015,8.6795,5.0507,37.41,102.7253,0.0,0.0,,0.0,1.3589,0.0,5063.6918,4032.5485
6,ap4,14.774,8.9997,1.7941,13.29,102.0718,0.0,0.0,,0.0,4.6111,0.0,5063.6918,4032.5485
6,cs1,2.1645,11.3549,2.5821,19.13,93.9846,0.0,0.0,ap1:9.1904,9.1904,0.0,0.0,5063.6918,4032.5485
7,ap1,8.5666,3.5293,0.01,0.0,108.4491,0.0,2.4774,,0.0,2.5599,0.0,5400.1859,4109.3425
7,ap2,2.1645,2.9102,2.4913,18.45,95.2623,0.0,0.0,ap1:0.7457,0.7457,0.0,0.0,5400.1859,4109.3425
7,ap3,7.3113,3.535,6.5801,48.74,102.9151,0.0,2.077,,0.0,0.0,0.0,5400.1859,4109.3425
7,ap4,7.488,3.7995,5.1137,37.88,102.0718,0.0,0.0,,0.0,0.0,0.0,5400.1859,4109.3425
7,cs1,2.1645,3.9787,2.5821,19.13,93.6776,0.0,0.0,ap1:1.8142,1.8142,0.0,0.0,5400.1859,4109.3425
8,ap1,3.0773,0.5032,0.01,0.0,108.5477,0.0,2.5741,,0.0,0.0,0.0,4955.5371,4179.9925
8,ap2,2.1645,0.4613,4.0242,29.81,95.2623,0.0,0.0,,0.0,0.0,0.0,4955.5371,4179.9925
8,ap3,2.6432,0.3288,6.733,49.87,102.9972,0.0,2.1445,,0.0,0.0,0.0,4955.5371,4179.9925
8,ap4,2.7532,0.4201,6.5864,48.79,102.0985,0.0,0.6968,,0.0,0.0,0.0,4955.5371,4179.9925
8,cs1,2.1645,0.402,4.1683,30.88,93.6776,0.0,0.0,,0.0,0.0,0.0,4955.5371,4179.9925
9,ap1,2.8976,0.4041,0.01,0.0,108.7923,0.0,2.4935,,0.0,0.0,0.0,2401.051,1903.3449
9,ap2,2.1645,0.4106,5.6027,41.5,95.2623,0.0,0.0,,0.0,0.0,0.0,2401.051,1903.3449
9,ap3,2.7419,0.3966,6.7483,49.99,103.2256,0.0,2.3283,,0.0,0.0,0.0,2401.051,1903.3449
9,ap4,2.7923,0.4481,6.7336,49.88,102.3124,0.0,2.1806,,0.0,0.0,0.0,2401.051,1903.3449
