timestep,import_capacity_kw,export_capacity_kw
0,5521.7789967371245,3761.619923681095
1,5471.7137679729985,4077.24076193756
2,2476.0819098748702,1753.7826011573677
3,2491.5870114376103,2020.4108823067943
4,2323.074130446588,1690.1985668584325
5,2491.752044601021,1803.8098934683403
6,4669.589353740682,3730.795218728873
7,5218.391900297153,3384.253238601071
8,4232.863353756364,3934.9835890848817
9,2547.3387553992084,2248.983212420863
10,2743.045891115434,1811.8663866352258
11,1937.851115940225,1957.1916124049658
12,2678.033284232831,1829.1787945360616
13,4582.5941416053665,4372.7172734941305
14,5358.797185512112,4576.212915546254
15,6020.778180821134,4342.266136165416
16,2613.2653868371012,2216.2269587636974
17,2492.028457379445,2248.687083275815
18,2648.1275186630683,2129.7641564197716
19,2355.3365324296283,2067.135759397332
20,4204.153275477285,4271.823143186416
21,5390.201264584223,4447.572237640971
22,4324.284771469795,4182.237882663005
23,2352.893995938364,1955.1304229091918
24,2279.0925251274825,2127.1494375965617
25,2719.5235956625547,2134.812894341964
26,2801.2705321350545,1872.5270527910718
27,5491.393443338865,4350.838527145835
28,5284.855620456391,4259.283772838667
29,4704.523345965961,4274.2993428339505
30,2396.041228340778,2311.4808391153233
31,2523.2804892746854,2348.7965486694134
32,2091.4819124693386,1724.1851328311616
33,2490.3052705710606,2041.1288113245218
34,5944.336806486142,4226.727828112485
35,4925.989966609645,4308.576623661841
36,4947.313122122383,3582.922588885583
37,2185.0078562487442,2181.2281773424343
38,1909.2249435652611,2122.7814576906353
39,2288.1036245799096,2323.022520481892
40,2182.9098792562713,1756.2135939217453
41,5323.082911038879,3697.979311816567
42,4963.7878502719195,3523.9758246887995
43,4191.2092147617195,3828.223440991605
44,2399.586629912114,2066.509883989118
45,2958.762205532819,2041.823148198735
46,1975.2102108173876,2086.3782616007547
47,2646.6077307439455,1733.9529249430307
48,4779.009393837995,4217.180548561687
49,5519.144887636137,4702.055057460812
50,4774.87256089987,3418.317290079184
51,2959.337644149186,2009.7010258560765
52,2660.387145427887,2105.8976011260884
53,2293.61062121118,1612.3386399139074
54,2405.7939999626583,1967.1329372107111
55,4665.714161982327,4248.773997723441
56,4311.45751110222,4089.652573196224
57,4571.374982236736,3600.9943694931508
58,2433.3353307124626,2122.2722197307826
59,3142.2341711530394,1726.9187791931354
60,2101.354311656016,1669.1743529239754
61,2760.3131675577924,2192.0444853672852
62,4672.570224697319,3748.281494514121
63,4752.705688751653,3986.853591237728
64,5446.042740893378,3984.293853878333
65,2301.119990116384,2226.3277755982526
66,2906.577012691876,2217.290263196592
67,2451.151986620554,1988.6776960300224
68,2565.5229309295664,2050.780902382353
69,4734.287046003369,4740.842694046464
70,4491.562643288868,4420.615124122237
71,4894.596382234482,4036.9098029302545
72,2580.6282185050145,2069.7551247727606
73,2798.288539100131,1965.1848127803978
74,2216.555371908413,1962.6334503754053
75,2365.6108939062256,1682.3211742586102
76,5309.731090142227,4071.7940219106927
77,4096.642238830006,4508.282612401395
78,4805.836177572797,3869.02866755066
79,2801.3312279218703,1779.5898882452916
80,2340.517125971277,2073.0258335917038
81,2402.119187320688,2032.2639177534097
82,2768.219251828575,2038.5510646747891
83,4167.519960526041,3996.690822010819
84,5644.649413104115,3795.3767776176087
85,4265.273893854019,3222.9660221342847
86,3048.9440939426095,1863.839349635753
87,2405.1163276709585,1893.3269387171902
88,2573.485643660195,1574.1871236337743
89,2274.736914278024,1868.4399814574956
