step,household_id,production,consumption,stored_kwh,battery_pct,wallet,grid_buy,grid_sell,p2p_trades,p2p_buy_amount,p2p_sell_amount,central_battery_tax,grid_import_capacity,grid_export_capacity
0,ir2,18.8471,47.5746,0.01,0.0,95.3797,28.7274,0.0,,0.0,0.0,0.0,5148.5613,3820.7851
0,kh3,38.1702,55.2135,0.01,0.0,97.2589,17.0433,0.0,,0.0,0.0,0.0,5148.5613,3820.7851
0,kh5,39.3553,56.2268,0.03,0.01,97.7642,13.9015,0.0,,0.0,0.0,0.0,5148.5613,3820.7851
0,kh7,103.8703,55.25,46.7583,13.36,100.0,0.0,0.0,,0.0,0.0,0.0,5148.5613,3820.7851
0,kh8,32.5088,55.0937,0.03,0.01,96.8453,19.6149,0.0,,0.0,0.0,0.0,5148.5613,3820.7851
0,kh9,34.4468,56.1747,0.03,0.01,96.9832,18.7578,0.0,,0.0,0.0,0.0,5148.5613,3820.7851
0,kh6,36.7353,54.3314,0.03,0.01,97.6477,14.6261,0.0,,0.0,0.0,0.0,5148.5613,3820.7851
0,kh2,38.8961,54.689,0.03,0.01,97.9377,12.8229,0.0,,0.0,0.0,0.0,5148.5613,3820.7851
0,kh1,126.6613,56.7068,65.9591,18.85,100.0,0.0,0.0,,0.0,0.0,0.0,5148.5613,3820.7851
0,kh4,113.8178,53.266,57.4966,16.43,100.0,0.0,0.0,,0.0,0.0,0.0,5148.5613,3820.7851
1,ir2,18.8946,58.324,0.01,0.0,84.8889,39.4293,0.0,,0.0,0.0,0.0,5147.9164,4005.5776
1,kh3,38.8173,46.3507,0.01,0.0,95.2545,7.5334,0.0,,0.0,0.0,0.0,5147.9164,4005.5776
1,kh5,40.0391,44.2442,0.0003,0.0,96.6533,4.1754,0.0,,0.0,0.0,0.0,5147.9164,4005.5776
1,kh7,92.1299,47.7558,86.695,24.77,100.0,0.0,0.0,,0.0,0.0,0.0,5147.9164,4005.5776
1,kh8,32.9802,45.6025,0.0003,0.0,93.4948,12.5926,0.0,,0.0,0.0,0.0,5147.9164,4005.5776
1,kh9,34.9783,46.3899,0.0003,0.0,93.9548,11.3818,0.0,,0.0,0.0,0.0,5147.9164,4005.5776
1,kh6,37.3379,44.7538,0.0003,0.0,95.6824,7.3863,0.0,,0.0,0.0,0.0,5147.9164,4005.5776
1,kh2,39.5657,46.0028,0.0003,0.0,96.2329,6.4075,0.0,,0.0,0.0,0.0,5147.9164,4005.5776
1,kh1,111.1051,48.6393,122.1783,34.91,100.0,0.0,0.0,,0.0,0.0,0.0,5147.9164,4005.5776
1,kh4,102.4447,46.9884,107.4073,30.69,100.0,0.0,0.0,,0.0,0.0,0.0,5147.9164,4005.5776
2,ir2,17.5232,58.9354,0.01,0.0,72.3167,41.4121,0.0,,0.0,0.0,0.0,2540.5558,1886.908
2,kh3,20.1383,47.5659,0.01,0.0,86.9278,27.4276,0.0,,0.0,0.0,0.0,2540.5558,1886.908
2,kh5,20.2987,45.6514,0.0,0.0,88.9566,25.3525,0.0,,0.0,0.0,0.0,2540.5558,1886.908
2,kh7,91.1997,47.162,126.3289,36.09,100.0,0.0,0.0,,0.0,0.0,0.0,2540.5558,1886.908
2,kh8,19.3721,45.4407,0.0,0.0,85.5808,26.0682,0.0,,0.0,0.0,0.0,2540.5558,1886.908
2,kh9,19.6344,49.0466,0.0,0.0,85.0257,29.4119,0.0,,0.0,0.0,0.0,2540.5558,1886.908
2,kh6,19.9441,46.4244,0.0,0.0,87.6434,26.48,0.0,,0.0,0.0,0.0,2540.5558,1886.908
2,kh2,20.2366,47.0257,0.0,0.0,88.1001,26.7889,0.0,,0.0,0.0,0.0,2540.5558,1886.908
2,kh1,108.6628,47.3727,177.3394,50.67,100.0,0.0,0.0,,0.0,0.0,0.0,2540.5558,1886.908
2,kh4,99.5671,45.4001,156.1577,44.62,100.0,0.0,0.0,,0.0,0.0,0.0,2540.5558,1886.908
3,ir2,17.8117,53.7959,0.01,0.0,59.9321,35.9843,0.0,,0.0,0.0,0.0,2433.2902,2092.5557
3,kh3,24.0673,48.5289,0.01,0.0,78.509,24.4616,0.0,,0.0,0.0,0.0,2433.2902,2092.5557
3,kh5,24.451,45.8611,0.0,0.0,81.5879,21.4101,0.0,,0.0,0.0,0.0,2433.2902,2092.5557
3,kh7,89.5439,46.105,165.4239,47.26,100.0,0.0,0.0,,0.0,0.0,0.0,2433.2902,2092.5557
3,kh8,22.2345,48.944,0.0,0.0,76.3883,26.7094,0.0,,0.0,0.0,0.0,2433.2902,2092.5557
3,kh9,22.8619,47.7139,0.0,0.0,76.4725,24.8519,0.0,,0.0,0.0,0.0,2433.2902,2092.5557
3,kh6,23.6028,48.6454,0.0,0.0,79.0246,25.0426,0.0,,0.0,0.0,0.0,2433.2902,2092.5557
3,kh2,24.3023,47.2928,0.0,0.0,80.1875,22.9905,0.0,,0.0,0.0,0.0,2433.2902,2092.5557
3,kh1,107.2068,46.6176,231.8696,66.25,100.0,0.0,0.0,,0.0,0.0,0.0,2433.2902,2092.5557
3,kh4,102.8091,47.1895,206.2153,58.92,100.0,0.0,0.0,,0.0,0.0,0.0,2433.2902,2092.5557
4,ir2,19.0072,59.3059,0.01,0.0,54.9001,40.2987,0.0,,0.0,0.0,0.0,2550.1359,1865.351
4,kh3,40.3507,47.1659,0.01,0.0,77.658,6.8152,0.0,,0.0,0.0,0.0,2550.1359,1865.351
4,kh5,41.6596,45.907,0.0,0.0,81.0576,4.2473,0.0,,0.0,0.0,0.0,2550.1359,1865.351
4,kh7,93.0439,48.3392,205.6581,58.76,100.0,0.0,0.0,,0.0,0.0,0.0,2550.1359,1865.351
4,kh8,34.0973,46.7633,0.0,0.0,74.8068,12.666,0.0,,0.0,0.0,0.0,2550.1359,1865.351
4,kh9,36.238,46.8748,0.0,0.0,75.1443,10.6368,0.0,,0.0,0.0,0.0,2550.1359,1865.351
4,kh6,38.7658,46.9974,0.0,0.0,77.9967,8.2316,0.0,,0.0,0.0,0.0,2550.1359,1865.351
4,kh2,41.1525,47.405,0.0,0.0,79.4068,6.2525,0.0,,0.0,0.0,0.0,2550.1359,1865.351
4,kh1,106.6056,46.3059,286.1394,81.75,100.0,0.0,0.0,,0.0,0.0,0.0,2550.1359,1865.351
4,kh4,102.2788,46.8968,256.059,73.16,100.0,0.0,0.0,,0.0,0.0,0.0,2550.1359,1865.351
5,ir2,18.379,58.183,0.01,0.0,45.884,39.804,0.0,,0.0,0.0,0.0,2469.4701,2005.5258
5,kh3,31.7936,47.0444,0.01,0.0,74.2035,15.2508,0.0,,0.0,0.0,0.0,2469.4701,2005.5258
5,kh5,32.6163,48.5884,0.0,0.0,77.4397,15.9721,0.0,,0.0,0.0,0.0,2469.4701,2005.5258
5,kh7,94.0518,48.9826,246.2204,70.35,100.0,0.0,0.0,,0.0,0.0,0.0,2469.4701,2005.5258
5,kh8,27.8632,46.5093,0.0,0.0,70.5832,18.6461,0.0,,0.0,0.0,0.0,2469.4701,2005.5258
5,kh9,29.2087,45.1769,0.0,0.0,71.5274,15.9682,0.0,,0.0,0.0,0.0,2469.4701,2005.5258
5,kh6,30.7974,46.7347,0.0,0.0,74.3868,15.9372,0.0,,0.0,0.0,0.0,2469.4701,2005.5258
5,kh2,32.2975,46.5883,0.0,0.0,76.1698,14.2907,0.0,,0.0,0.0,0.0,2469.4701,2005.5258
5,kh1,106.2382,46.1153,340.25,97.21,100.0,0.0,0.0,,0.0,0.0,0.0,2469.4701,2005.5258
5,kh4,102.2195,46.8641,305.8789,87.39,100.0,0.0,0.0,,0.0,0.0,0.0,2469.4701,2005.5258
6,ir2,19.083,58.4108,0.01,0.0,32.96,39.3278,0.0,,0.0,0.0,0.0,5066.1459,4174.7302
6,kh3,41.3829,47.492,0.01,0.0,72.1959,6.1092,0.0,,0.0,0.0,0.0,5066.1459,4174.7302
6,kh5,42.7504,47.2834,0.0,0.0,75.95,4.533,0.0,,0.0,0.0,0.0,5066.1459,4174.7302
6,kh7,93.0913,48.3695,286.4701,81.85,100.0,0.0,0.0,,0.0,0.0,0.0,5066.1459,4174.7302
6,kh8,34.8492,46.2958,0.0,0.0,66.8216,11.4465,0.0,,0.0,0.0,0.0,5066.1459,4174.7302
6,kh9,37.0859,47.3085,0.0,0.0,68.1679,10.2227,0.0,,0.0,0.0,0.0,5066.1459,4174.7302
6,kh6,39.7269,48.3553,0.0,0.0,71.5513,8.6284,0.0,,0.0,0.0,0.0,5066.1459,4174.7302
6,kh2,42.2206,47.055,0.0,0.0,74.5811,4.8344,0.0,,0.0,0.0,0.0,5066.1459,4174.7302
6,kh1,113.618,49.9425,350.0,100.0,103.5701,0.0,52.8422,,0.0,0.0,0.0,5066.1459,4174.7302
6,kh4,105.8982,48.8946,350.0,100.0,100.5391,0.0,7.9801,,0.0,0.0,0.0,5066.1459,4174.7302
7,ir2,19.0154,59.1651,0.01,0.0,23.7356,40.1497,0.0,,0.0,0.0,0.0,4703.3443,3869.848
7,kh3,40.4617,48.5379,0.01,0.0,70.3404,8.0762,0.0,,0.0,0.0,0.0,4703.3443,3869.848
7,kh5,41.777,45.2938,0.0,0.0,75.142,3.5169,0.0,,0.0,0.0,0.0,4703.3443,3869.848
7,kh7,93.5499,48.6622,326.869,93.39,100.0,0.0,0.0,,0.0,0.0,0.0,4703.3443,3869.848
7,kh8,34.1782,48.1507,0.0,0.0,63.6115,13.9725,0.0,,0.0,0.0,0.0,4703.3443,3869.848
7,kh9,36.3292,47.3946,0.0,0.0,65.6257,11.0654,0.0,,0.0,0.0,0.0,4703.3443,3869.848
7,kh6,38.8692,47.2854,0.0,0.0,69.6177,8.4162,0.0,,0.0,0.0,0.0,4703.3443,3869.848
7,kh2,41.2674,46.9459,0.0,0.0,73.2765,5.6785,0.0,,0.0,0.0,0.0,4703.3443,3869.848
7,kh1,106.2259,46.109,350.0,100.0,109.2084,0.0,60.117,,0.0,0.0,0.0,4703.3443,3869.848
7,kh4,102.8596,47.2174,350.0,100.0,105.7578,0.0,55.6422,,0.0,0.0,0.0,4703.3443,3869.848
8,ir2,17.762,60.0239,0.01,0.0,10.1718,42.2619,0.0,,0.0,0.0,0.0,4975.7457,4120.2518
8,kh3,23.3908,46.961,0.01,0.0,62.7756,23.5701,0.0,,0.0,0.0,0.0,4975.7457,4120.2518
8,kh5,23.736,46.5091,0.0,0.0,67.833,22.7731,0.0,,0.0,0.0,0.0,4975.7457,4120.2518
8,kh7,90.5229,46.73,350.0,100.0,100.9185,0.0,18.0919,,0.0,0.0,0.0,4975.7457,4120.2518
8,kh8,21.7416,45.7966,0.0,0.0,55.8911,24.0549,0.0,,0.0,0.0,0.0,4975.7457,4120.2518
8,kh9,22.3062,48.6607,0.0,0.0,57.1673,26.3545,0.0,,0.0,0.0,0.0,4975.7457,4120.2518
8,kh6,22.9728,46.8639,0.0,0.0,61.9499,23.8911,0.0,,0.0,0.0,0.0,4975.7457,4120.2518
8,kh2,23.6023,49.5925,0.0,0.0,64.9349,25.9903,0.0,,0.0,0.0,0.0,4975.7457,4120.2518
8,kh1,105.3225,45.6404,350.0,100.0,112.2382,0.0,59.6821,,0.0,0.0,0.0,4975.7457,4120.2518
8,kh4,100.8135,46.088,350.0,100.0,108.536,0.0,54.7255,,0.0,0.0,0.0,4975.7457,4120.2518
9,ir2,18.0714,56.0159,0.01,0.0,5.3527,37.9446,0.0,,0.0,0.0,0.0,2522.1579,1816.5825
9,kh3,27.6043,46.5123,0.01,0.0,60.3742,18.908,0.0,,0.0,0.0,0.0,2522.1579,1816.5825
9,kh5,28.189,48.0275,0.0,0.0,65.3135,19.8385,0.0,,0.0,0.0,0.0,2522.1579,1816.5825
9,kh7,90.4604,46.6901,350.0,100.0,104.2599,0.0,43.7703,,0.0,0.0,0.0,2522.1579,1816.5825
9,kh8,24.8113,46.3934,0.0,0.0,53.1501,21.5821,0.0,,0.0,0.0,0.0,2522.1579,1816.5825
9,kh9,25.7674,47.031,0.0,0.0,54.4668,21.2635,0.0,,0.0,0.0,0.0,2522.1579,1816.5825
9,kh6,26.8964,46.6561,0.0,0.0,59.4404,19.7597,0.0,,0.0,0.0,0.0,2522.1579,1816.5825
9,kh2,27.9625,47.9637,0.0,0.0,62.3947,20.0013,0.0,,0.0,0.0,0.0,2522.1579,1816.5825
9,kh1,109.8706,47.9991,350.0,100.0,116.9614,0.0,61.8715,,0.0,0.0,0.0,2522.1579,1816.5825
9,kh4,100.7494,46.0527,350.0,100.0,112.7115,0.0,54.6968,,0.0,0.0,0.0,2522.1579,1816.5825
10,ir2,19.0454,58.2842,0.01,0.0,-2.4147,39.2388,0.0,,0.0,0.0,0.0,2510.0076,2062.2411
10,kh3,40.8711,46.7621,0.01,0.0,59.2081,5.8909,0.0,,0.0,0.0,0.0,2510.0076,2062.2411
