step,household_id,production,consumption,stored_kwh,battery_pct,wallet,grid_buy,grid_sell,p2p_trades,p2p_buy_amount,p2p_sell_amount,central_battery_tax,grid_import_capacity,grid_export_capacity
0,ap2,5.9656,1.7971,0.01,0.0,100.4164,0.0,4.1785,,0.0,0.0,0.0,4722.323,3816.2694
0,ap3,8.4899,1.8667,0.01,0.0,100.6602,0.0,6.6262,,0.0,0.0,0.0,4722.323,3816.2694
0,ap4,8.7414,2.1193,0.01,0.0,101.0389,0.0,0.0,,0.0,6.6251,0.0,4722.323,3816.2694
0,ap1,9.1528,1.8637,6.9361,1.98,100.2286,0.0,0.0,,0.0,1.4578,0.0,4722.323,3816.2694
0,hi1,5.8265,22.1243,3.0,0.86,96.7197,8.2149,0.0,ap4:6.6251-ap1:1.4578,8.0829,0.0,0.0,4722.323,3816.2694
0,ir1,5.8152,2.558,5.9314,1.69,100.0,0.0,0.0,,0.0,0.0,0.0,4722.323,3816.2694
0,ir2,5.8134,2.3384,6.1275,1.75,100.0,0.0,0.0,,0.0,0.0,0.0,4722.323,3816.2694
0,is2,5.8158,5.3983,3.3758,0.96,100.0,0.0,0.0,,0.0,0.0,0.0,4722.323,3816.2694
0,is1,5.821,4.3935,4.2848,1.22,100.0,0.0,0.0,,0.0,0.0,0.0,4722.323,3816.2694
0,ku3,8.2611,1.356,7.9717,2.28,100.1376,0.0,1.381,,0.0,0.0,0.0,4722.323,3816.2694
0,ku2,8.5316,1.6114,7.9825,2.28,100.1379,0.0,1.384,,0.0,0.0,0.0,4722.323,3816.2694
0,ku4,7.772,1.3577,7.6183,2.18,100.1278,0.0,1.2829,,0.0,0.0,0.0,4722.323,3816.2694
0,ku1,5.855,1.2784,7.119,2.03,100.0,0.0,0.0,,0.0,0.0,0.0,4722.323,3816.2694
0,pl1,9.2848,2.0962,8.1758,2.34,100.1433,0.0,1.4377,,0.0,0.0,0.0,4722.323,3816.2694
0,ta1,8.3607,1.7556,7.7557,2.22,100.1316,0.0,1.321,,0.0,0.0,0.0,4722.323,3816.2694
1,ap2,12.7384,24.6677,0.01,0.0,97.4194,0.0,0.0,ap3:11.9294,11.9294,0.0,0.0,4804.6435,3772.9112
1,ap3,42.1562,24.9898,0.01,0.0,103.9036,0.0,5.24,,0.0,11.9294,0.0,4804.6435,3772.9112
1,ap4,38.2819,23.203,0.01,0.0,104.8279,0.0,0.0,,0.0,15.0818,0.0,4804.6435,3772.9112
1,ap1,51.1535,25.0172,21.0497,6.01,101.5418,0.0,0.0,,0.0,5.2273,0.0,4804.6435,3772.9112
1,hi1,7.7348,225.289,3.0,0.86,35.3072,197.245,0.0,ap4:15.0818-ap1:5.2273,20.3091,0.0,0.0,4804.6435,3772.9112
1,ir1,7.3267,24.4115,5.9314,1.69,95.1226,17.0848,0.0,,0.0,0.0,0.0,4804.6435,3772.9112
1,ir2,7.2617,26.4356,6.1275,1.75,94.5262,19.1738,0.0,,0.0,0.0,0.0,4804.6435,3772.9112
1,is2,7.3495,53.1261,3.3758,0.96,87.2408,36.748,0.0,ku3:4.8587-ku2:4.1699,9.0285,0.0,0.0,4804.6435,3772.9112
1,is1,7.5373,49.9584,4.2848,1.22,87.9991,39.2208,0.0,ku4:3.2004,3.2004,0.0,0.0,4804.6435,3772.9112
1,ku3,46.4582,22.1649,21.09,6.03,101.3582,0.0,0.0,,0.0,4.8587,0.0,4804.6435,3772.9112
1,ku2,42.0095,21.1601,19.2412,5.5,101.1855,0.0,0.0,,0.0,4.1699,0.0,4804.6435,3772.9112
1,ku4,37.624,21.6222,16.2593,4.65,100.9318,0.0,0.0,,0.0,3.2004,0.0,4804.6435,3772.9112
1,ku1,8.7602,20.4521,7.119,2.03,96.9272,3.9548,0.0,pl1:4.742-ta1:2.9951,7.7371,0.0,0.0,4804.6435,3772.9112
1,pl1,50.252,26.5421,20.9792,5.99,101.3346,0.0,0.0,,0.0,4.742,0.0,4804.6435,3772.9112
