step,household_id,production,consumption,stored_kwh,battery_pct,wallet,grid_buy,grid_sell,p2p_trades,p2p_buy_amount,p2p_sell_amount,central_battery_tax,grid_import_capacity,grid_export_capacity
0,ap1,98.572,44.7935,51.0896,83.33,100.1514,0.0,0.0105,,0.0,0.0,0.0,5022.9088,4058.7574
0,ap2,17.316,44.1711,0.05,0.37,-750.4609,21.9051,0.0,,0.0,0.0,0.0,5022.9088,4058.7574
0,ap3,81.236,43.9023,13.5,100.0,501.2142,0.0,27.8893,,0.0,0.0,0.0,5022.9088,4058.7574
0,ap4,78.9475,43.9878,13.5,100.0,467.0615,0.0,25.5153,,0.0,0.0,0.0,5022.9088,4058.7574
0,cs1,17.316,52.6177,0.05,0.37,-1078.3982,30.3517,0.0,,0.0,0.0,0.0,5022.9088,4058.7574
1,ap1,84.7107,37.1523,96.2701,83.33,100.1514,0.0,0.0,,0.0,0.0,0.0,4964.1474,3631.5252
1,ap2,17.316,37.8768,0.0005,0.0,-1395.2875,20.5113,0.0,,0.0,0.0,0.0,4964.1474,3631.5252
1,ap3,72.3772,37.8178,13.5,100.0,822.2153,0.0,34.5594,,0.0,0.0,0.0,4964.1474,3631.5252
1,ap4,72.1555,39.1402,13.5,100.0,773.7202,0.0,33.0153,,0.0,0.0,0.0,4964.1474,3631.5252
1,cs1,17.316,42.9478,0.0005,0.0,-1882.6462,25.5823,0.0,,0.0,0.0,0.0,4964.1474,3631.5252
2,ap1,88.2338,39.0944,142.9525,83.33,100.1514,0.0,0.0,,0.0,0.0,0.0,2277.2431,2156.3531
2,ap2,17.316,37.5486,0.0,0.0,-1672.1168,20.2321,0.0,,0.0,0.0,0.0,2277.2431,2156.3531
2,ap3,70.7227,36.6814,13.5,100.0,900.7712,0.0,34.0413,,0.0,0.0,0.0,2277.2431,2156.3531
2,ap4,69.7041,37.3906,13.5,100.0,848.2889,0.0,32.3135,,0.0,0.0,0.0,2277.2431,2156.3531
2,cs1,17.316,42.6094,0.0,0.0,-2228.721,25.2929,0.0,,0.0,0.0,0.0,2277.2431,2156.3531
3,ap1,86.5607,38.1721,188.9216,83.33,100.1514,0.0,0.0,,0.0,0.0,0.0,2584.7883,1960.5391
3,ap2,17.316,36.9554,0.0,0.0,-2301.162,19.6394,0.0,,0.0,0.0,0.0,2584.7883,1960.5391
