step,household_id,production,consumption,stored_kwh,battery_pct,wallet,grid_buy,grid_sell,p2p_trades,p2p_buy_amount,p2p_sell_amount,central_battery_tax,grid_import_capacity,grid_export_capacity
0,ap1,98.572,44.7935,0.01,0.0,550.445,0.0,0.0,,0.0,53.7785,0.0,5022.9088,4058.7574
0,ap2,17.316,44.1711,2.47,18.3,-105.6719,0.0,0.0,ap1:20.7768-ap3:3.7783,24.5551,0.0,0.0,5022.9088,4058.7574
0,ap3,81.236,43.9023,1.2838,9.51,302.035,0.0,33.1554,,0.0,3.7783,0.0,5022.9088,4058.7574
0,ap4,78.9475,43.9878,5.36,39.7,277.6048,0.0,34.5597,,0.0,0.0,0.0,5022.9088,4058.7574
0,cs1,17.316,52.6177,2.47,18.3,-176.42,0.0,0.0,ap1:33.0017,33.0017,0.0,0.0,5022.9088,4058.7574
1,ap1,84.7107,37.1523,0.01,0.0,926.0505,0.0,1.3658,,0.0,46.1926,0.0,4964.1474,3631.5252
1,ap2,17.316,37.8768,2.47,18.3,-270.8767,0.0,0.0,ap1:20.5608,20.5608,0.0,0.0,4964.1474,3631.5252
1,ap3,72.3772,37.8178,4.9884,36.95,401.2344,0.0,30.4433,,0.0,0.0,0.0,4964.1474,3631.5252
1,ap4,72.1555,39.1402,5.396,39.97,385.0548,0.0,32.9753,,0.0,0.0,0.0,4964.1474,3631.5252
1,cs1,17.316,42.9478,2.47,18.3,-382.3704,0.0,0.0,ap1:25.6318,25.6318,0.0,0.0,4964.1474,3631.5252
2,ap1,88.2338,39.0944,0.01,0.0,1945.3358,0.0,3.6134,,0.0,45.5259,0.0,2277.2431,2156.3531
2,ap2,17.316,37.5486,2.47,18.3,-705.4782,0.0,0.0,ap1:20.2326,20.2326,0.0,0.0,2277.2431,2156.3531
2,ap3,70.7227,36.6814,5.3588,39.7,786.3037,0.0,33.6297,,0.0,0.0,0.0,2277.2431,2156.3531
2,ap4,69.7041,37.3906,5.3996,40.0,755.0078,0.0,32.3095,,0.0,0.0,0.0,2277.2431,2156.3531
2,cs1,17.316,42.6094,2.47,18.3,-925.6795,0.0,0.0,ap1:25.2934,25.2934,0.0,0.0,2277.2431,2156.3531
3,ap1,86.5607,38.1721,0.01,0.0,3323.0601,0.0,3.0028,,0.0,45.3858,0.0,2584.7883,1960.5391
3,ap2,17.316,36.9554,2.47,18.3,-1282.4908,0.0,0.0,ap1:19.6394,19.6394,0.0,0.0,2584.7883,1960.5391
3,ap3,70.6441,36.6274,5.3959,39.97,1287.261,0.0,33.9755,,0.0,0.0,0.0,2584.7883,1960.5391
3,ap4,69.1711,37.0102,5.4,40.0,1229.2039,0.0,32.1605,,0.0,0.0,0.0,2584.7883,1960.5391
3,cs1,17.316,43.0624,2.47,18.3,-1682.1161,0.0,0.0,ap1:25.7464,25.7464,0.0,0.0,2584.7883,1960.5391
4,ap1,83.4832,36.4756,0.01,0.0,4483.1371,0.0,2.3623,,0.0,44.6453,0.0,2909.4205,2248.1125
