step,household_id,production,consumption,stored_kwh,battery_pct,wallet,grid_buy,grid_sell,p2p_trades,p2p_buy_amount,p2p_sell_amount,central_battery_tax,grid_import_capacity,grid_export_capacity
0,ap1,98.572,44.7935,51.0896,83.33,100.1327,0.0,0.0105,,0.0,0.0,0.0,5022.9088,4058.7574
0,ap2,17.316,44.1711,0.05,0.37,-792.5138,21.9051,0.0,,0.0,0.0,0.0,5022.9088,4058.7574
0,ap3,81.236,43.9023,13.5,100.0,451.6437,0.0,27.8893,,0.0,0.0,0.0,5022.9088,4058.7574
0,ap4,78.9475,43.9878,13.5,100.0,421.7106,0.0,25.5153,,0.0,0.0,0.0,5022.9088,4058.7574
0,cs1,17.316,52.6177,0.05,0.37,-1136.6666,30.3517,0.0,,0.0,0.0,0.0,5022.9088,4058.7574
1,ap1,84.7107,37.1523,96.2701,83.33,100.1327,0.0,0.0,,0.0,0.0,0.0,4964.1474,3631.5252
1,ap2,17.316,37.8768,0.0005,0.0,-1608.1182,20.5113,0.0,,0.0,0.0,0.0,4964.1474,3631.5252
1,ap3,72.3772,37.8178,13.5,100.0,815.419,0.0,34.5594,,0.0,0.0,0.0,4964.1474,3631.5252
1,ap4,72.1555,39.1402,13.5,100.0,769.2323,0.0,33.0153,,0.0,0.0,0.0,4964.1474,3631.5252
1,cs1,17.316,42.9478,0.0005,0.0,-2153.9141,25.5823,0.0,,0.0,0.0,0.0,4964.1474,3631.5252
2,ap1,88.2338,39.0944,142.9525,83.33,100.1327,0.0,0.0,,0.0,0.0,0.0,2277.2431,2156.3531
2,ap2,17.316,37.5486,0.0,0.0,-2341.1855,20.2321,0.0,,0.0,0.0,0.0,2277.2431,2156.3531
2,ap3,70.7227,36.6814,13.5,100.0,1049.4644,0.0,34.0413,,0.0,0.0,0.0,2277.2431,2156.3531
2,ap4,69.7041,37.3906,13.5,100.0,991.3986,0.0,32.3135,,0.0,0.0,0.0,2277.2431,2156.3531
2,cs1,17.316,42.6094,0.0,0.0,-3070.3493,25.2929,0.0,,0.0,0.0,0.0,2277.2431,2156.3531
3,ap1,86.5607,38.1721,188.9216,83.33,100.1327,0.0,0.0,,0.0,0.0,0.0,2584.7883,1960.5391
3,ap2,17.316,36.9554,0.0,0.0,-2904.9868,19.6394,0.0,,0.0,0.0,0.0,2584.7883,1960.5391
3,ap3,70.6441,36.6274,13.5,100.0,1395.9099,0.0,34.0167,,0.0,0.0,0.0,2584.7883,1960.5391
3,ap4,69.1711,37.0102,13.5,100.0,1318.9442,0.0,32.1609,,0.0,0.0,0.0,2584.7883,1960.5391
3,cs1,17.316,43.0624,0.0,0.0,-3809.4665,25.7464,0.0,,0.0,0.0,0.0,2584.7883,1960.5391
4,ap1,83.4832,36.4756,233.5788,83.33,100.1327,0.0,0.0,,0.0,0.0,0.0,2909.4205,2248.1125
4,ap2,17.316,36.5836,0.0,0.0,-3859.7668,19.2676,0.0,,0.0,0.0,0.0,2909.4205,2248.1125
4,ap3,73.4652,38.565,13.5,100.0,1802.9888,0.0,34.9001,,0.0,0.0,0.0,2909.4205,2248.1125
4,ap4,70.1894,37.7369,13.5,100.0,1697.4728,0.0,32.4524,,0.0,0.0,0.0,2909.4205,2248.1125
4,cs1,17.316,42.6937,0.0,0.0,-5067.0203,25.3777,0.0,,0.0,0.0,0.0,2909.4205,2248.1125
5,ap1,84.8366,37.2216,278.813,83.33,100.1327,0.0,0.0,,0.0,0.0,0.0,2661.2003,2209.1596
5,ap2,17.316,39.4378,0.0,0.0,-4362.6284,22.1218,0.0,,0.0,0.0,0.0,2661.2003,2209.1596
5,ap3,72.7938,38.1039,13.5,100.0,1812.7369,0.0,34.6899,,0.0,0.0,0.0,2661.2003,2209.1596
5,ap4,69.5412,37.2743,13.5,100.0,1706.5401,0.0,32.2669,,0.0,0.0,0.0,2661.2003,2209.1596
5,cs1,17.316,44.0548,0.0,0.0,-5674.8331,26.7388,0.0,,0.0,0.0,0.0,2661.2003,2209.1596
6,ap1,84.9421,37.2798,324.0922,83.33,100.1327,0.0,0.0,,0.0,0.0,0.0,4315.8557,3503.0755
6,ap2,17.316,37.4188,0.0,0.0,-5221.5258,20.1028,0.0,,0.0,0.0,0.0,4315.8557,3503.0755
6,ap3,72.4604,37.8749,13.5,100.0,1997.9175,0.0,34.5855,,0.0,0.0,0.0,4315.8557,3503.0755
6,ap4,68.2349,36.342,13.5,100.0,1877.3038,0.0,31.8929,,0.0,0.0,0.0,4315.8557,3503.0755
6,cs1,17.316,42.9916,0.0,0.0,-6771.8272,25.6756,0.0,,0.0,0.0,0.0,4315.8557,3503.0755
7,ap1,84.2492,36.8979,369.0759,83.33,100.1327,0.0,0.0,,0.0,0.0,0.0,3863.3682,4260.7128
7,ap2,17.316,38.2641,0.0,0.0,-5995.4837,20.9481,0.0,,0.0,0.0,0.0,3863.3682,4260.7128
7,ap3,72.3852,37.8233,13.5,100.0,2419.7203,0.0,34.5619,,0.0,0.0,0.0,3863.3682,4260.7128
7,ap4,71.8519,38.9235,13.5,100.0,2279.1706,0.0,32.9284,,0.0,0.0,0.0,3863.3682,4260.7128
7,cs1,17.316,44.2762,0.0,0.0,-7767.9107,26.9602,0.0,,0.0,0.0,0.0,3863.3682,4260.7128
8,ap1,88.1518,39.0492,415.7234,83.33,100.1327,0.0,0.0,,0.0,0.0,0.0,5173.6272,4527.4166
8,ap2,17.316,38.5942,0.0,0.0,-6956.2047,21.2782,0.0,,0.0,0.0,0.0,5173.6272,4527.4166
8,ap3,72.7351,38.0636,13.5,100.0,2904.3689,0.0,34.6715,,0.0,0.0,0.0,5173.6272,4527.4166
8,ap4,71.7754,38.8689,13.5,100.0,2739.1472,0.0,32.9065,,0.0,0.0,0.0,5173.6272,4527.4166
8,cs1,17.316,42.5884,0.0,0.0,-8908.974,25.2724,0.0,,0.0,0.0,0.0,5173.6272,4527.4166
9,ap1,85.7225,37.7101,461.3352,83.33,100.1327,0.0,0.0,,0.0,0.0,0.0,2539.1722,2012.6759
9,ap2,17.316,37.0468,0.0,0.0,-7772.6824,19.7308,0.0,,0.0,0.0,0.0,2539.1722,2012.6759
9,ap3,72.1565,37.6662,13.5,100.0,3143.3036,0.0,34.4903,,0.0,0.0,0.0,2539.1722,2012.6759
