timestep,import_capacity_kw,export_capacity_kw
0,5022.908809009682,4058.7574000259174
1,4964.147394896495,3631.5251697119534
2,2277.2430750001004,2156.353129765956
3,2584.788330094298,1960.539121467548
4,2909.420535798357,2248.1124843734187
5,2661.200328599629,2209.159601769014
6,4315.855686220491,3503.0755131864858
7,3863.36824565394,4260.7128192259825
8,5173.62724621649,4527.416623932422
9,2539.172186644491,2012.6759187763573
10,2896.549000256467,1859.3770034138859
11,2208.2668483606094,2156.984787184893
12,2669.10045913886,2475.6644847492735
13,5315.335152580755,3744.1554406378305
14,4845.512211780718,4009.6327331865746
15,5347.735811353881,3554.6555706991703
16,2983.7548338908405,2035.8225171688798
17,2588.760705722345,1982.9520687079496
18,2172.224696258873,2225.133450653866
19,2441.991649698046,1766.7487653566955
20,5365.761619269063,4462.525936972202
21,5324.6899379504275,3286.9502839735433
22,4441.311538268436,4135.897670104884
23,2183.7438838140642,1934.9257051852358
24,2347.3033878455713,2175.0574896095513
25,2179.3856737277,2120.93722070132
26,1787.9167443052563,2002.1881586664438
27,4963.59561572801,3743.6402321395394
28,4655.142208677163,3682.342036786969
29,5359.315643067761,3594.867439244492
30,2279.8796799002666,1810.6690415668497
31,2390.9276380537494,2181.8585908611108
32,2453.606544395304,1870.3556820681508
33,2855.2920080036256,2006.5834897476464
34,5353.1307999563705,4377.034682894497
35,4400.781438993881,3859.114635965679
36,3769.2981041402772,3603.387068149366
37,2564.5598359649566,1991.7915086098762
38,2281.636902495299,1642.6601256908218
39,2761.9129867526417,1924.2340855326268
40,2916.6352226858394,1864.8501372527053
41,6121.408177223952,3486.770477620934
42,4833.997430036358,3525.008978798253
43,4973.1535130333405,3355.6210875359416
44,2303.729891954353,1884.575286069376
45,2339.48230267344,1979.4828135511657
46,2403.071742904685,1627.9962156927081
47,2410.696537316178,2166.265485070158
48,4767.641117392713,4423.9132623428395
49,4601.905460890397,3956.25579414736
50,5003.9137669087495,4809.454304094555
51,2101.632527466919,2262.940242351639
52,2479.7491141069645,2251.844807494525
53,2665.212360453634,1933.86466981584
54,2761.554565905714,2141.587405925955
55,5324.665201008005,4322.931292358593
56,4775.196245015898,3757.8122189039896
57,5008.070252507334,3644.7040221483144
58,2786.036830131095,1837.5866493697145
59,2405.5331219884947,2006.1099971455092
60,2652.8250034899097,2121.6774388748613
61,2594.7753611911266,1987.237592474383
62,4781.338317933431,3725.5648513914234
63,5454.67882558736,3960.7472338748207
64,4627.681829414908,3706.4127486138914
65,2074.227452941563,2079.1157726736938
66,3330.1357047331585,1698.4549016263657
67,2295.6746600074707,1969.7193984008522
68,2420.755792395561,2136.3610498016856
69,5697.078782412404,3397.3566102218565
70,4827.781890349544,3752.9283152466605
71,5282.259901087428,4097.34961278732
72,2203.1564381371563,2299.470950625162
73,2562.3365982968,2045.6828644367354
74,2452.466632895052,2085.510794840714
75,1984.6784835387502,2274.0168264535896
76,4685.54247861319,3315.3781546250466
77,3736.401937951428,3387.2500853615197
78,3982.615757103274,4119.245885617942
79,2459.847416582835,2190.1461778278167
80,2729.2716729711387,2141.191173522559
81,2772.6267439856347,1929.6737422118943
82,2155.0035904643028,2192.560234332136
83,4661.306076342521,3845.6949424026993
84,5036.680130033018,2985.343017821973
85,6597.985516222618,4072.0833093663364
86,1789.3206125471406,1985.6222805421567
87,2790.7773959824904,2261.3548363818268
88,2759.1518714576273,2199.440953861038
89,2368.3977442799282,2194.0814808434925
