step,household_id,production,consumption,stored_kwh,battery_pct,wallet,grid_buy,grid_sell,p2p_trades,p2p_buy_amount,p2p_sell_amount,central_battery_tax,grid_import_capacity,grid_export_capacity
0,ap1,98.572,44.7935,0.01,0.0,636.938,0.0002,7.46,,0.0,46.3268,0.0,5022.9088,4058.7574
0,ap2,17.316,44.1711,7.5028,55.58,-217.1811,0.0,0.0,ap1:8.2453-ap3:14.477-ap4:6.9136,29.6359,0.0,0.0,5022.9088,4058.7574
0,ap3,81.236,43.9023,0.0,0.0,343.777,0.0,16.1145,,0.0,14.477,0.0,5022.9088,4058.7574
0,ap4,78.9475,43.9878,4.8115,35.64,291.4367,0.0,21.3039,,0.0,6.9136,0.0,5022.9088,4058.7574
0,cs1,17.316,52.6177,7.5018,55.57,-307.5705,0.0,0.0,ap1:38.0815,38.0815,0.0,0.0,5022.9088,4058.7574
1,ap1,84.7107,37.1523,0.01,0.0,1169.6852,0.0,24.4809,,0.0,23.0853,0.0,4964.1474,3631.5252
1,ap2,17.316,37.8768,0.0748,0.55,-440.0068,0.0,0.0,ap1:4.2064-ap3:4.8723-ap4:4.7294,13.8081,0.0,0.0,4964.1474,3631.5252
1,ap3,72.3772,37.8178,0.0,0.0,616.6875,0.0,29.6873,,0.0,4.8723,0.0,4964.1474,3631.5252
1,ap4,72.1555,39.1402,0.0,0.0,581.2118,0.0,32.6167,,0.0,4.7294,0.0,4964.1474,3631.5252
1,cs1,17.316,42.9478,0.0736,0.55,-612.2258,0.0,0.0,ap1:18.8789,18.8789,0.0,0.0,4964.1474,3631.5252
2,ap1,88.2338,39.0944,0.01,0.0,1642.9544,0.0001,35.6071,,0.0,13.5398,0.0,2277.2431,2156.3531
2,ap2,17.316,37.5486,0.0092,0.07,-797.9034,0.0,0.0,ap3:6.6332-ap1:13.5398,20.173,0.0,0.0,2277.2431,2156.3531
2,ap3,70.7227,36.6814,0.0,0.0,958.2519,0.0001,12.7269,,0.0,14.5573,0.0,2277.2431,2156.3531
2,ap4,69.7041,37.3906,0.0,0.0,942.2985,0.0001,8.2454,,0.0,17.3111,0.0,2277.2431,2156.3531
2,cs1,17.316,42.6094,0.0097,0.07,-1059.9344,0.0,0.0,ap4:17.3111-ap3:7.9242,25.2353,0.0,0.0,2277.2431,2156.3531
3,ap1,86.5607,38.1721,0.01,0.0,1964.2919,0.0,0.4213,,0.0,47.9751,0.0,2584.7883,1960.5391
